Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1986,C,38.0,LAL,79.0,79.0,2629.0,755.0,1338.0,0.564,0.0,2.0,0.0,755.0,1336.0,0.565,0.564,336.0,439.0,0.765,133.0,345.0,478.0,280.0,67.0,130.0,203.0,248.0,1846.0
Alvan Adams,1986,C,31.0,PHO,78.0,45.0,2005.0,341.0,679.0,0.502,0.0,2.0,0.0,341.0,677.0,0.504,0.502,159.0,203.0,0.783,148.0,329.0,477.0,324.0,103.0,46.0,206.0,272.0,841.0
Michael Adams,1986,PG,23.0,SAC,18.0,0.0,139.0,16.0,44.0,0.364,0.0,3.0,0.0,16.0,41.0,0.39,0.364,8.0,12.0,0.667,2.0,4.0,6.0,22.0,9.0,1.0,11.0,9.0,40.0
Mark Aguirre,1986,SF,26.0,DAL,74.0,73.0,2501.0,668.0,1327.0,0.503,16.0,56.0,0.286,652.0,1271.0,0.513,0.509,318.0,451.0,0.705,177.0,268.0,445.0,339.0,62.0,14.0,252.0,229.0,1670.0
Danny Ainge,1986,SG,26.0,BOS,80.0,78.0,2407.0,353.0,701.0,0.504,26.0,73.0,0.356,327.0,628.0,0.521,0.522,123.0,136.0,0.904,47.0,188.0,235.0,405.0,94.0,7.0,129.0,204.0,855.0
Ron Anderson,1986,SF,27.0,TOT,77.0,30.0,1676.0,310.0,628.0,0.494,2.0,9.0,0.222,308.0,619.0,0.498,0.495,85.0,127.0,0.669,130.0,144.0,274.0,144.0,56.0,6.0,82.0,125.0,707.0
Ron Anderson,1986,SF,27.0,CLE,17.0,3.0,207.0,37.0,74.0,0.5,0.0,1.0,0.0,37.0,73.0,0.507,0.5,12.0,16.0,0.75,5.0,21.0,26.0,8.0,1.0,0.0,6.0,20.0,86.0
Ron Anderson,1986,SF,27.0,IND,60.0,27.0,1469.0,273.0,554.0,0.493,2.0,8.0,0.25,271.0,546.0,0.496,0.495,73.0,111.0,0.658,125.0,123.0,248.0,136.0,55.0,6.0,76.0,105.0,621.0
John Bagley,1986,PG,25.0,CLE,78.0,77.0,2472.0,366.0,865.0,0.423,9.0,37.0,0.243,357.0,828.0,0.431,0.428,170.0,215.0,0.791,76.0,199.0,275.0,735.0,122.0,10.0,239.0,165.0,911.0
James Bailey,1986,PF,28.0,NYK,48.0,36.0,1245.0,202.0,443.0,0.456,0.0,4.0,0.0,202.0,439.0,0.46,0.456,129.0,167.0,0.772,102.0,232.0,334.0,50.0,33.0,40.0,99.0,207.0,533.0
Thurl Bailey,1986,PF,24.0,UTA,82.0,13.0,2358.0,483.0,1077.0,0.448,0.0,7.0,0.0,483.0,1070.0,0.451,0.448,230.0,277.0,0.83,148.0,345.0,493.0,153.0,42.0,114.0,144.0,160.0,1196.0
Greg Ballard,1986,SF,31.0,GSW,75.0,14.0,1792.0,272.0,570.0,0.477,17.0,35.0,0.486,255.0,535.0,0.477,0.492,101.0,126.0,0.802,132.0,285.0,417.0,83.0,65.0,8.0,54.0,174.0,662.0
Gene Banks,1986,SF,26.0,CHI,82.0,33.0,2139.0,356.0,688.0,0.517,0.0,19.0,0.0,356.0,669.0,0.532,0.517,183.0,255.0,0.718,178.0,182.0,360.0,251.0,81.0,10.0,139.0,212.0,895.0
Ken Bannister,1986,PF,25.0,NYK,70.0,15.0,1405.0,235.0,479.0,0.491,0.0,1.0,0.0,235.0,478.0,0.492,0.491,131.0,249.0,0.526,89.0,233.0,322.0,42.0,42.0,24.0,129.0,208.0,601.0
Charles Barkley*,1986,PF,22.0,PHI,80.0,80.0,2952.0,595.0,1041.0,0.572,17.0,75.0,0.227,578.0,966.0,0.598,0.58,396.0,578.0,0.685,354.0,672.0,1026.0,312.0,173.0,125.0,350.0,333.0,1603.0
John Battle,1986,SG,23.0,ATL,64.0,0.0,639.0,101.0,222.0,0.455,0.0,7.0,0.0,101.0,215.0,0.47,0.455,75.0,103.0,0.728,12.0,50.0,62.0,74.0,23.0,3.0,47.0,80.0,277.0
Benoit Benjamin,1986,C,21.0,LAC,79.0,37.0,2088.0,324.0,661.0,0.49,1.0,3.0,0.333,323.0,658.0,0.491,0.491,229.0,307.0,0.746,161.0,439.0,600.0,79.0,64.0,206.0,145.0,286.0,878.0
Kent Benson,1986,C,31.0,DET,72.0,51.0,1344.0,201.0,415.0,0.484,1.0,2.0,0.5,200.0,413.0,0.484,0.486,66.0,83.0,0.795,118.0,258.0,376.0,80.0,58.0,51.0,58.0,196.0,469.0
Larry Bird*,1986,SF,29.0,BOS,82.0,81.0,3113.0,796.0,1606.0,0.496,82.0,194.0,0.423,714.0,1412.0,0.506,0.521,441.0,492.0,0.896,190.0,615.0,805.0,557.0,166.0,51.0,266.0,182.0,2115.0
Otis Birdsong,1986,SG,30.0,NJN,77.0,74.0,2395.0,542.0,1056.0,0.513,8.0,22.0,0.364,534.0,1034.0,0.516,0.517,122.0,210.0,0.581,88.0,114.0,202.0,261.0,85.0,17.0,179.0,228.0,1214.0
Uwe Blab,1986,C,23.0,DAL,48.0,0.0,409.0,44.0,94.0,0.468,0.0,0.0,0.0,44.0,94.0,0.468,0.468,36.0,67.0,0.537,25.0,66.0,91.0,17.0,3.0,12.0,28.0,65.0,124.0
Rolando Blackman,1986,SG,26.0,DAL,82.0,81.0,2787.0,677.0,1318.0,0.514,4.0,29.0,0.138,673.0,1289.0,0.522,0.515,404.0,483.0,0.836,88.0,203.0,291.0,271.0,79.0,25.0,189.0,138.0,1762.0
Manute Bol,1986,C,23.0,WSB,80.0,60.0,2090.0,128.0,278.0,0.46,0.0,1.0,0.0,128.0,277.0,0.462,0.46,42.0,86.0,0.488,123.0,354.0,477.0,23.0,28.0,397.0,65.0,255.0,298.0
Sam Bowie,1986,C,24.0,POR,38.0,34.0,1132.0,167.0,345.0,0.484,0.0,0.0,0.0,167.0,345.0,0.484,0.484,114.0,161.0,0.708,93.0,234.0,327.0,99.0,21.0,96.0,88.0,142.0,448.0
Dudley Bradley,1986,SG,28.0,WSB,70.0,7.0,842.0,73.0,209.0,0.349,17.0,68.0,0.25,56.0,141.0,0.397,0.39,32.0,56.0,0.571,24.0,71.0,95.0,107.0,85.0,3.0,44.0,101.0,195.0
Mike Bratz,1986,PG,30.0,SAC,33.0,0.0,269.0,26.0,70.0,0.371,4.0,14.0,0.286,22.0,56.0,0.393,0.4,14.0,18.0,0.778,2.0,21.0,23.0,39.0,13.0,0.0,17.0,43.0,70.0
Randy Breuer,1986,C,25.0,MIL,82.0,63.0,1792.0,272.0,570.0,0.477,0.0,1.0,0.0,272.0,569.0,0.478,0.477,141.0,198.0,0.712,159.0,299.0,458.0,114.0,50.0,116.0,122.0,214.0,685.0
Ron Brewer,1986,SG,30.0,TOT,44.0,3.0,570.0,86.0,224.0,0.384,5.0,17.0,0.294,81.0,207.0,0.391,0.395,34.0,38.0,0.895,14.0,39.0,53.0,40.0,17.0,6.0,23.0,44.0,211.0
Ron Brewer,1986,SG,30.0,CHI,4.0,0.0,18.0,3.0,9.0,0.333,0.0,0.0,0.0,3.0,9.0,0.333,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0
Ron Brewer,1986,SG,30.0,CLE,40.0,3.0,552.0,83.0,215.0,0.386,5.0,17.0,0.294,78.0,198.0,0.394,0.398,33.0,37.0,0.892,14.0,39.0,53.0,40.0,17.0,6.0,21.0,43.0,204.0
Frank Brickowski,1986,C,26.0,SEA,40.0,2.0,311.0,30.0,58.0,0.517,0.0,0.0,0.0,30.0,58.0,0.517,0.517,18.0,27.0,0.667,16.0,38.0,54.0,21.0,11.0,7.0,23.0,74.0,78.0
Junior Bridgeman,1986,SF,32.0,LAC,58.0,14.0,1161.0,199.0,451.0,0.441,6.0,18.0,0.333,193.0,433.0,0.446,0.448,106.0,119.0,0.891,29.0,94.0,123.0,108.0,31.0,8.0,68.0,81.0,510.0
Mike Brittain,1986,C,22.0,SAS,32.0,2.0,219.0,22.0,43.0,0.512,0.0,0.0,0.0,22.0,43.0,0.512,0.512,10.0,19.0,0.526,10.0,39.0,49.0,5.0,3.0,12.0,20.0,54.0,54.0
Tony Brown,1986,SG,25.0,CHI,10.0,0.0,132.0,18.0,41.0,0.439,0.0,2.0,0.0,18.0,39.0,0.462,0.439,9.0,13.0,0.692,5.0,11.0,16.0,14.0,5.0,1.0,4.0,16.0,45.0
Wallace Bryant,1986,C,26.0,TOT,17.0,8.0,218.0,15.0,48.0,0.313,0.0,0.0,0.0,15.0,48.0,0.313,0.313,11.0,19.0,0.579,17.0,36.0,53.0,15.0,5.0,5.0,9.0,38.0,41.0
Wallace Bryant,1986,C,26.0,DAL,9.0,8.0,154.0,11.0,30.0,0.367,0.0,0.0,0.0,11.0,30.0,0.367,0.367,6.0,11.0,0.545,9.0,24.0,33.0,11.0,3.0,2.0,7.0,26.0,28.0
Wallace Bryant,1986,C,26.0,LAC,8.0,0.0,64.0,4.0,18.0,0.222,0.0,0.0,0.0,4.0,18.0,0.222,0.222,5.0,8.0,0.625,8.0,12.0,20.0,4.0,2.0,3.0,2.0,12.0,13.0
Quinn Buckner,1986,PG,31.0,IND,32.0,3.0,419.0,49.0,104.0,0.471,0.0,1.0,0.0,49.0,103.0,0.476,0.471,19.0,27.0,0.704,9.0,42.0,51.0,86.0,40.0,3.0,55.0,80.0,117.0
Michael Cage,1986,PF,24.0,LAC,78.0,12.0,1566.0,204.0,426.0,0.479,0.0,3.0,0.0,204.0,423.0,0.482,0.479,113.0,174.0,0.649,168.0,249.0,417.0,81.0,62.0,34.0,106.0,176.0,521.0
Tony Campbell,1986,SF,23.0,DET,82.0,1.0,1292.0,294.0,608.0,0.484,2.0,9.0,0.222,292.0,599.0,0.487,0.485,58.0,73.0,0.795,83.0,153.0,236.0,45.0,62.0,7.0,86.0,164.0,648.0
Rick Carlisle,1986,SG,26.0,BOS,77.0,1.0,760.0,92.0,189.0,0.487,0.0,10.0,0.0,92.0,179.0,0.514,0.487,15.0,23.0,0.652,22.0,55.0,77.0,104.0,19.0,4.0,50.0,92.0,199.0
Antoine Carr,1986,PF,24.0,ATL,17.0,0.0,258.0,49.0,93.0,0.527,0.0,0.0,0.0,49.0,93.0,0.527,0.527,18.0,27.0,0.667,16.0,36.0,52.0,14.0,7.0,15.0,14.0,51.0,116.0
Kenny Carr,1986,PF,30.0,POR,55.0,31.0,1557.0,232.0,466.0,0.498,0.0,4.0,0.0,232.0,462.0,0.502,0.498,149.0,217.0,0.687,146.0,346.0,492.0,70.0,38.0,30.0,106.0,203.0,613.0
Joe Barry Carroll,1986,C,27.0,GSW,79.0,79.0,2801.0,650.0,1404.0,0.463,0.0,2.0,0.0,650.0,1402.0,0.464,0.463,377.0,501.0,0.752,193.0,477.0,670.0,176.0,101.0,143.0,275.0,277.0,1677.0
Butch Carter,1986,SG,27.0,TOT,9.0,0.0,67.0,7.0,24.0,0.292,0.0,1.0,0.0,7.0,23.0,0.304,0.292,6.0,7.0,0.857,2.0,2.0,4.0,4.0,1.0,0.0,7.0,14.0,20.0
