Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,2008,PF,31.0,SAC,6.0,0.0,51.0,3.0,14.0,0.214,0.0,0.0,0.0,3.0,14.0,0.214,0.214,4.0,4.0,1.0,6.0,4.0,10.0,4.0,1.0,0.0,1.0,9.0,10.0
Arron Afflalo,2008,SG,22.0,DET,75.0,9.0,970.0,99.0,241.0,0.411,10.0,48.0,0.208,89.0,193.0,0.461,0.432,68.0,87.0,0.782,36.0,101.0,137.0,52.0,31.0,8.0,34.0,83.0,276.0
Maurice Ager,2008,SG,23.0,TOT,26.0,3.0,165.0,21.0,65.0,0.323,3.0,19.0,0.158,18.0,46.0,0.391,0.346,6.0,12.0,0.5,4.0,9.0,13.0,8.0,0.0,1.0,6.0,17.0,51.0
Maurice Ager,2008,SG,23.0,DAL,12.0,3.0,77.0,5.0,27.0,0.185,0.0,8.0,0.0,5.0,19.0,0.263,0.185,5.0,6.0,0.833,1.0,3.0,4.0,4.0,0.0,1.0,3.0,11.0,15.0
Maurice Ager,2008,SG,23.0,NJN,14.0,0.0,88.0,16.0,38.0,0.421,3.0,11.0,0.273,13.0,27.0,0.481,0.461,1.0,6.0,0.167,3.0,6.0,9.0,4.0,0.0,0.0,3.0,6.0,36.0
Blake Ahearn,2008,PG,23.0,MIA,12.0,0.0,177.0,15.0,57.0,0.263,10.0,34.0,0.294,5.0,23.0,0.217,0.351,30.0,31.0,0.968,1.0,18.0,19.0,19.0,6.0,0.0,16.0,20.0,70.0
LaMarcus Aldridge,2008,PF,22.0,POR,76.0,76.0,2649.0,561.0,1160.0,0.484,1.0,7.0,0.143,560.0,1153.0,0.486,0.484,227.0,298.0,0.762,220.0,358.0,578.0,122.0,55.0,94.0,126.0,240.0,1350.0
Malik Allen,2008,PF,29.0,TOT,73.0,16.0,1096.0,157.0,327.0,0.48,1.0,2.0,0.5,156.0,325.0,0.48,0.482,23.0,25.0,0.92,66.0,130.0,196.0,44.0,19.0,31.0,45.0,149.0,338.0
Malik Allen,2008,PF,29.0,NJN,48.0,12.0,763.0,124.0,261.0,0.475,1.0,2.0,0.5,123.0,259.0,0.475,0.477,12.0,13.0,0.923,42.0,86.0,128.0,29.0,15.0,21.0,32.0,89.0,261.0
Malik Allen,2008,PF,29.0,DAL,25.0,4.0,333.0,33.0,66.0,0.5,0.0,0.0,0.0,33.0,66.0,0.5,0.5,11.0,12.0,0.917,24.0,44.0,68.0,15.0,4.0,10.0,13.0,60.0,77.0
