Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Forest Able,1957,G,24.0,SYR,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Paul Arizin*,1957,SF,28.0,PHW,71.0,0.0,39.0,8.6,20.4,0.422,0.0,0.0,0.0,8.6,20.4,0.422,0.422,8.3,10.0,0.829,0.0,0.0,7.9,2.1,0.0,0.0,0.0,3.9,25.6
Bob Armstrong,1957,C-F,23.0,PHW,19.0,0.0,5.8,0.6,1.9,0.297,0.0,0.0,0.0,0.6,1.9,0.297,0.297,0.3,0.6,0.5,0.0,0.0,2.1,0.2,0.0,0.0,0.0,0.7,1.5
Jim Baechtold,1957,SF,29.0,NYK,45.0,0.0,10.3,1.7,4.4,0.381,0.0,0.0,0.0,1.7,4.4,0.381,0.381,1.5,2.0,0.75,0.0,0.0,1.8,0.7,0.0,0.0,0.0,0.9,4.8
John Barber,1957,F,29.0,STL,5.0,0.0,3.8,0.4,1.6,0.25,0.0,0.0,0.0,0.4,1.6,0.25,0.25,0.6,1.2,0.5,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.8,1.4
Ernie Beck,1957,SG,25.0,PHW,72.0,0.0,24.2,2.7,7.1,0.384,0.0,0.0,0.0,2.7,7.1,0.384,0.384,1.5,2.2,0.707,0.0,0.0,4.3,2.6,0.0,0.0,0.0,2.2,7.0
Irv Bemoras,1957,SF,26.0,STL,62.0,0.0,15.9,2.0,6.2,0.322,0.0,0.0,0.0,2.0,6.2,0.322,0.322,1.1,1.7,0.68,0.0,0.0,2.0,0.7,0.0,0.0,0.0,1.2,5.1
Gary Bergen,1957,C,24.0,NYK,6.0,0.0,6.7,0.5,1.8,0.273,0.0,0.0,0.0,0.5,1.8,0.273,0.273,0.3,0.3,1.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,0.7,1.3
Al Bianchi,1957,PG,24.0,SYR,68.0,0.0,23.2,2.9,8.3,0.351,0.0,0.0,0.0,2.9,8.3,0.351,0.351,2.4,3.5,0.69,0.0,0.0,3.3,1.6,0.0,0.0,0.0,2.9,8.3
Carl Braun*,1957,PG,29.0,NYK,72.0,0.0,32.6,5.3,13.8,0.381,0.0,0.0,0.0,5.3,13.8,0.381,0.381,3.4,4.2,0.809,0.0,0.0,3.6,3.6,0.0,0.0,0.0,2.7,13.9
Bob Burrow,1957,C,22.0,ROC,67.0,0.0,15.3,2.0,5.5,0.374,0.0,0.0,0.0,2.0,5.5,0.374,0.374,1.9,3.1,0.616,0.0,0.0,4.4,0.6,0.0,0.0,0.0,2.5,6.0
Nat Clifton*,1957,PF,34.0,NYK,71.0,0.0,31.4,4.3,11.5,0.377,0.0,0.0,0.0,4.3,11.5,0.377,0.377,2.1,3.1,0.673,0.0,0.0,7.8,2.3,0.0,0.0,0.0,3.4,10.7
Jack Coleman,1957,PF,32.0,STL,72.0,0.0,29.8,4.4,10.8,0.408,0.0,0.0,0.0,4.4,10.8,0.408,0.408,1.7,2.2,0.764,0.0,0.0,9.0,2.2,0.0,0.0,0.0,3.3,10.5
Ed Conlin,1957,SG,23.0,SYR,71.0,0.0,31.7,4.7,12.6,0.374,0.0,0.0,0.0,4.7,12.6,0.374,0.374,4.0,5.2,0.769,0.0,0.0,6.1,2.9,0.0,0.0,0.0,2.4,13.4
Larry Costello,1957,PG,25.0,PHW,72.0,0.0,29.3,2.6,6.9,0.374,0.0,0.0,0.0,2.6,6.9,0.374,0.374,2.4,3.1,0.788,0.0,0.0,4.5,3.3,0.0,0.0,0.0,2.5,7.6
Bob Cousy*,1957,PG,28.0,BOS,64.0,0.0,36.9,7.5,19.8,0.378,0.0,0.0,0.0,7.5,19.8,0.378,0.378,5.7,6.9,0.821,0.0,0.0,4.8,7.5,0.0,0.0,0.0,2.1,20.6
Walt Davis,1957,PF,26.0,PHW,65.0,0.0,19.2,2.7,6.7,0.407,0.0,0.0,0.0,2.7,6.7,0.407,0.407,1.1,1.6,0.698,0.0,0.0,4.7,0.8,0.0,0.0,0.0,3.6,6.6
George Dempsey,1957,PG,27.0,PHW,71.0,0.0,16.2,1.9,4.3,0.444,0.0,0.0,0.0,1.9,4.3,0.444,0.444,0.8,1.4,0.539,0.0,0.0,3.5,1.9,0.0,0.0,0.0,1.5,4.5
Corky Devlin,1957,SG,25.0,FTW,71.0,0.0,17.5,2.7,7.1,0.378,0.0,0.0,0.0,2.7,7.1,0.378,0.378,1.4,2.0,0.678,0.0,0.0,2.1,2.0,0.0,0.0,0.0,1.6,6.7
Walter Dukes,1957,C,26.0,MNL,71.0,0.0,26.3,3.2,8.8,0.364,0.0,0.0,0.0,3.2,8.8,0.364,0.364,3.7,5.4,0.689,0.0,0.0,11.2,0.8,0.0,0.0,0.0,3.8,10.1
Ray Felix,1957,C,26.0,NYK,72.0,0.0,22.5,4.1,9.8,0.416,0.0,0.0,0.0,4.1,9.8,0.416,0.416,3.8,5.2,0.747,0.0,0.0,8.2,0.5,0.0,0.0,0.0,3.9,12.0
Ed Fleming,1957,SG,23.0,ROC,51.0,0.0,18.2,2.1,7.1,0.299,0.0,0.0,0.0,2.1,7.1,0.299,0.299,2.7,3.7,0.728,0.0,0.0,3.6,1.6,0.0,0.0,0.0,1.8,7.0
Larry Foust,1957,C,28.0,FTW,61.0,0.0,25.1,4.0,10.1,0.394,0.0,0.0,0.0,4.0,10.1,0.394,0.394,4.5,6.2,0.718,0.0,0.0,9.1,1.2,0.0,0.0,0.0,3.6,12.4
Harry Gallatin*,1957,PF,29.0,NYK,72.0,0.0,27.0,4.6,11.3,0.406,0.0,0.0,0.0,4.6,11.3,0.406,0.406,5.8,7.2,0.8,0.0,0.0,10.1,1.2,0.0,0.0,0.0,2.8,15.0
Dick Garmaker,1957,SG,24.0,MNL,72.0,0.0,33.4,5.6,14.1,0.4,0.0,0.0,0.0,5.6,14.1,0.4,0.4,5.1,6.0,0.839,0.0,0.0,4.7,2.6,0.0,0.0,0.0,2.8,16.3
Jack George,1957,SG,28.0,PHW,67.0,0.0,33.3,3.8,11.2,0.337,0.0,0.0,0.0,3.8,11.2,0.337,0.337,3.0,4.4,0.683,0.0,0.0,4.7,4.6,0.0,0.0,0.0,2.5,10.5
Joe Graboski,1957,PF,27.0,PHW,72.0,0.0,34.7,5.4,15.5,0.349,0.0,0.0,0.0,5.4,15.5,0.349,0.349,3.5,4.5,0.783,0.0,0.0,8.5,1.9,0.0,0.0,0.0,3.4,14.3
Si Green,1957,SG,23.0,ROC,13.0,0.0,32.5,3.8,11.0,0.35,0.0,0.0,0.0,3.8,11.0,0.35,0.35,3.8,5.3,0.71,0.0,0.0,5.2,3.6,0.0,0.0,0.0,2.8,11.5
Richie Guerin*,1957,SG,24.0,NYK,72.0,0.0,24.9,3.6,9.7,0.368,0.0,0.0,0.0,3.6,9.7,0.368,0.368,2.5,4.1,0.62,0.0,0.0,4.6,2.5,0.0,0.0,0.0,2.6,9.7
Cliff Hagan*,1957,SF,25.0,STL,67.0,0.0,14.5,2.0,5.5,0.361,0.0,0.0,0.0,2.0,5.5,0.361,0.361,1.5,2.2,0.69,0.0,0.0,3.7,1.3,0.0,0.0,0.0,2.5,5.5
Alex Hannum*,1957,PF,33.0,TOT,59.0,0.0,10.9,1.3,3.8,0.345,0.0,0.0,0.0,1.3,3.8,0.345,0.345,0.6,0.9,0.661,0.0,0.0,2.7,0.5,0.0,0.0,0.0,2.3,3.2
Alex Hannum*,1957,PF,33.0,FTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
