Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,1958,SF,29.0,PHW,68.0,0.0,35.0,7.1,18.1,0.393,0.0,0.0,0.0,7.1,18.1,0.393,0.393,6.5,8.0,0.809,0.0,0.0,7.4,2.0,0.0,0.0,0.0,3.5,20.7
Dick Atha,1958,SG,26.0,DET,18.0,0.0,8.9,0.9,2.6,0.362,0.0,0.0,0.0,0.9,2.6,0.362,0.362,0.6,0.7,0.833,0.0,0.0,1.3,1.1,0.0,0.0,0.0,1.3,2.4
Ernie Beck,1958,SG,26.0,PHW,71.0,0.0,27.8,3.8,9.6,0.398,0.0,0.0,0.0,3.8,9.6,0.398,0.398,2.4,2.9,0.837,0.0,0.0,4.3,2.7,0.0,0.0,0.0,2.4,10.1
Al Bianchi,1958,SG,25.0,SYR,69.0,0.0,20.6,3.1,9.1,0.344,0.0,0.0,0.0,3.1,9.1,0.344,0.344,2.0,3.0,0.683,0.0,0.0,3.2,1.7,0.0,0.0,0.0,2.7,8.3
Doug Bolstorff,1958,G,26.0,DET,3.0,0.0,7.0,0.7,1.7,0.4,0.0,0.0,0.0,0.7,1.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3
Carl Braun*,1958,PG,30.0,NYK,71.0,0.0,34.9,6.0,14.3,0.418,0.0,0.0,0.0,6.0,14.3,0.418,0.418,4.5,5.3,0.849,0.0,0.0,4.6,5.5,0.0,0.0,0.0,2.6,16.5
George Brown,1958,F,22.0,MNL,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Bob Burrow,1958,C,23.0,MNL,14.0,0.0,12.2,1.6,5.0,0.314,0.0,0.0,0.0,1.6,5.0,0.314,0.314,0.8,2.4,0.333,0.0,0.0,4.6,0.4,0.0,0.0,0.0,1.1,3.9
Nat Clifton*,1958,PF,35.0,DET,68.0,0.0,21.1,3.2,8.8,0.363,0.0,0.0,0.0,3.2,8.8,0.363,0.363,1.3,2.1,0.623,0.0,0.0,5.9,1.1,0.0,0.0,0.0,3.0,7.7
Jack Coleman,1958,PF,33.0,STL,72.0,0.0,20.9,3.2,7.8,0.413,0.0,0.0,0.0,3.2,7.8,0.413,0.413,1.2,1.8,0.641,0.0,0.0,6.7,1.6,0.0,0.0,0.0,2.3,7.6
Ed Conlin,1958,SF,24.0,SYR,60.0,0.0,31.2,5.7,14.6,0.391,0.0,0.0,0.0,5.7,14.6,0.391,0.391,3.6,4.5,0.796,0.0,0.0,7.3,2.2,0.0,0.0,0.0,2.8,15.0
Larry Costello,1958,PG,26.0,SYR,72.0,0.0,38.1,5.3,12.3,0.426,0.0,0.0,0.0,5.3,12.3,0.426,0.426,4.4,5.3,0.847,0.0,0.0,5.3,4.4,0.0,0.0,0.0,3.4,14.9
Bob Cousy*,1958,PG,29.0,BOS,65.0,0.0,34.2,6.8,19.4,0.353,0.0,0.0,0.0,6.8,19.4,0.353,0.353,4.3,5.0,0.85,0.0,0.0,5.0,7.1,0.0,0.0,0.0,2.1,18.0
Walt Davis,1958,PF,27.0,TOT,61.0,0.0,10.9,1.4,4.0,0.348,0.0,0.0,0.0,1.4,4.0,0.348,0.348,1.0,1.3,0.744,0.0,0.0,2.9,0.5,0.0,0.0,0.0,2.3,3.8
Walt Davis,1958,PF,27.0,PHW,35.0,0.0,10.7,1.3,3.7,0.341,0.0,0.0,0.0,1.3,3.7,0.341,0.341,0.5,0.7,0.667,0.0,0.0,2.5,0.5,0.0,0.0,0.0,2.3,3.0
Walt Davis,1958,PF,27.0,STL,26.0,0.0,11.0,1.6,4.4,0.357,0.0,0.0,0.0,1.6,4.4,0.357,0.357,1.7,2.2,0.776,0.0,0.0,3.3,0.4,0.0,0.0,0.0,2.4,4.9
George Dempsey,1958,PG,28.0,PHW,67.0,0.0,15.6,1.7,4.6,0.36,0.0,0.0,0.0,1.7,4.6,0.36,0.36,1.0,1.6,0.667,0.0,0.0,3.2,1.9,0.0,0.0,0.0,1.7,4.4
Corky Devlin,1958,SG,26.0,MNL,70.0,0.0,17.8,2.4,7.0,0.348,0.0,0.0,0.0,2.4,7.0,0.348,0.348,1.9,2.5,0.773,0.0,0.0,1.9,2.4,0.0,0.0,0.0,1.5,6.8
Dick Duckett,1958,PG,24.0,CIN,34.0,0.0,12.5,1.6,4.6,0.342,0.0,0.0,0.0,1.6,4.6,0.342,0.342,0.7,0.8,0.889,0.0,0.0,1.6,1.4,0.0,0.0,0.0,1.8,3.9
Walter Dukes,1958,C,27.0,DET,72.0,0.0,30.3,3.9,11.1,0.349,0.0,0.0,0.0,3.9,11.1,0.349,0.349,3.4,5.1,0.675,0.0,0.0,13.3,0.7,0.0,0.0,0.0,4.3,11.2
Pat Dunn,1958,SG,26.0,PHW,28.0,0.0,7.4,1.0,3.2,0.311,0.0,0.0,0.0,1.0,3.2,0.311,0.311,0.5,0.6,0.824,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.7,2.5
Bill Ebben,1958,G,22.0,DET,8.0,0.0,6.3,0.8,3.5,0.214,0.0,0.0,0.0,0.8,3.5,0.214,0.214,0.4,0.5,0.75,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.6,1.9
Bo Erias,1958,SF,25.0,MNL,18.0,0.0,22.3,3.3,9.4,0.347,0.0,0.0,0.0,3.3,9.4,0.347,0.347,1.7,2.6,0.638,0.0,0.0,4.6,1.4,0.0,0.0,0.0,2.9,8.2
Ray Felix,1958,C,27.0,NYK,72.0,0.0,23.7,4.2,9.6,0.442,0.0,0.0,0.0,4.2,9.6,0.442,0.442,3.8,5.4,0.697,0.0,0.0,10.4,0.7,0.0,0.0,0.0,3.9,12.2
Ed Fleming,1958,SF,24.0,MNL,72.0,0.0,23.4,3.1,9.1,0.345,0.0,0.0,0.0,3.1,9.1,0.345,0.345,2.5,3.5,0.71,0.0,0.0,6.8,1.9,0.0,0.0,0.0,3.1,8.8
Larry Foust,1958,C,29.0,MNL,72.0,0.0,30.6,5.4,13.6,0.398,0.0,0.0,0.0,5.4,13.6,0.398,0.398,5.9,7.9,0.756,0.0,0.0,12.2,1.5,0.0,0.0,0.0,4.2,16.8
Larry Friend,1958,SG,22.0,NYK,44.0,0.0,12.9,1.7,5.1,0.327,0.0,0.0,0.0,1.7,5.1,0.327,0.327,0.6,0.9,0.659,0.0,0.0,2.4,1.1,0.0,0.0,0.0,1.2,4.0
Harry Gallatin*,1958,PF,30.0,DET,72.0,0.0,27.6,4.7,12.5,0.379,0.0,0.0,0.0,4.7,12.5,0.379,0.379,5.4,6.9,0.787,0.0,0.0,10.4,1.2,0.0,0.0,0.0,3.0,14.9
Dick Garmaker,1958,SG,25.0,MNL,68.0,0.0,32.6,5.7,14.5,0.395,0.0,0.0,0.0,5.7,14.5,0.395,0.395,4.6,6.0,0.764,0.0,0.0,5.4,2.7,0.0,0.0,0.0,2.8,16.1
Jack George,1958,PG,29.0,PHW,72.0,0.0,26.5,3.2,8.7,0.37,0.0,0.0,0.0,3.2,8.7,0.37,0.37,2.5,3.4,0.736,0.0,0.0,4.0,3.3,0.0,0.0,0.0,1.9,8.9
Tom Gola*,1958,SG,25.0,PHW,59.0,0.0,36.0,5.0,12.1,0.415,0.0,0.0,0.0,5.0,12.1,0.415,0.415,3.8,5.1,0.746,0.0,0.0,10.8,5.5,0.0,0.0,0.0,3.8,13.8
