Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mark Acres,1990,C,27.0,ORL,80.0,50.0,21.1,1.7,3.6,0.484,0.0,0.1,0.75,1.7,3.5,0.48,0.489,1.0,1.5,0.692,1.9,3.5,5.4,0.8,0.5,0.3,0.9,3.1,4.5
Michael Adams,1990,PG,27.0,DEN,79.0,74.0,34.1,5.0,12.5,0.402,2.0,5.5,0.366,3.0,7.1,0.431,0.482,3.4,4.0,0.85,0.6,2.2,2.8,6.3,1.5,0.0,1.8,1.7,15.5
Mark Aguirre,1990,SF,30.0,DET,78.0,40.0,25.7,5.6,11.5,0.488,0.4,1.2,0.333,5.2,10.3,0.506,0.505,2.5,3.3,0.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1
Danny Ainge,1990,PG,30.0,SAC,75.0,68.0,36.4,6.7,15.4,0.438,1.4,3.9,0.374,5.3,11.5,0.46,0.485,3.0,3.6,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.5,3.2,17.9
Mark Alarie,1990,PF,26.0,WSB,82.0,10.0,23.1,4.5,9.6,0.473,0.1,0.6,0.204,4.4,9.0,0.49,0.479,1.3,1.6,0.812,1.8,2.7,4.6,1.7,0.7,0.5,1.2,2.7,10.5
Steve Alford,1990,PG,25.0,DAL,41.0,0.0,7.4,1.5,3.4,0.457,0.2,0.5,0.318,1.4,2.8,0.483,0.482,0.9,0.9,0.946,0.0,0.6,0.6,1.0,0.4,0.1,0.4,0.5,4.1
Randy Allen,1990,SG,25.0,SAC,63.0,6.0,11.8,1.7,3.8,0.444,0.0,0.1,0.0,1.7,3.7,0.457,0.444,0.4,0.7,0.535,0.8,1.4,2.2,0.4,0.3,0.3,0.4,1.6,3.7
Greg Anderson,1990,PF,25.0,MIL,60.0,28.0,21.5,3.7,7.2,0.507,0.0,0.0,0.0,3.7,7.2,0.507,0.507,1.5,2.8,0.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8
Nick Anderson,1990,SG,22.0,ORL,81.0,9.0,22.0,4.6,9.3,0.494,0.0,0.2,0.059,4.6,9.1,0.504,0.495,2.3,3.3,0.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5
Richard Anderson,1990,PF,29.0,CHH,54.0,2.0,11.2,1.6,3.9,0.417,0.7,1.9,0.37,0.9,2.1,0.459,0.505,0.3,0.4,0.783,0.6,1.7,2.4,1.0,0.4,0.2,0.5,1.2,4.3
Ron Anderson,1990,SF,31.0,PHI,78.0,3.0,26.8,4.9,10.8,0.451,0.0,0.3,0.143,4.8,10.5,0.459,0.452,2.1,2.5,0.838,1.0,2.7,3.8,1.8,0.9,0.2,1.0,1.8,11.9
Willie Anderson,1990,SG,23.0,SAS,82.0,81.0,34.0,6.5,13.2,0.492,0.1,0.3,0.269,6.4,12.9,0.497,0.495,2.6,3.5,0.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7
Michael Ansley,1990,SF,22.0,ORL,72.0,5.0,17.0,3.2,6.5,0.497,0.0,0.0,0.0,3.2,6.5,0.497,0.497,2.3,3.2,0.722,2.6,2.4,5.0,0.6,0.3,0.2,0.7,2.1,8.7
B.J. Armstrong,1990,PG,22.0,CHI,81.0,0.0,15.9,2.3,4.8,0.485,0.0,0.1,0.5,2.3,4.8,0.484,0.489,0.9,1.0,0.885,0.2,1.0,1.3,2.5,0.6,0.1,1.0,1.3,5.6
John Bagley,1990,PG,29.0,BOS,54.0,17.0,20.3,1.9,4.0,0.459,0.0,0.3,0.056,1.8,3.7,0.495,0.461,0.5,0.7,0.744,0.5,1.2,1.6,5.5,0.7,0.1,1.7,1.4,4.3
Thurl Bailey,1990,SF,28.0,UTA,82.0,33.0,31.5,5.7,11.9,0.481,0.0,0.1,0.0,5.7,11.8,0.485,0.481,2.7,3.5,0.779,1.4,3.6,5.0,1.7,0.4,1.2,1.7,2.1,14.2
Ken Bannister,1990,PF,29.0,LAC,52.0,1.0,11.3,1.5,3.1,0.478,0.0,0.0,0.0,1.5,3.1,0.481,0.478,1.0,2.1,0.473,0.8,1.4,2.2,0.3,0.3,0.1,0.8,1.8,4.0
Charles Barkley*,1990,SF,26.0,PHI,79.0,79.0,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2
Dana Barros,1990,PG,22.0,SEA,81.0,25.0,20.1,3.7,9.1,0.405,1.2,2.9,0.399,2.5,6.2,0.408,0.47,1.1,1.4,0.809,0.4,1.2,1.6,2.5,0.7,0.0,1.5,1.2,9.7
John Battle,1990,SG,27.0,ATL,60.0,48.0,24.6,4.6,9.1,0.506,0.0,0.2,0.154,4.6,8.9,0.514,0.507,1.7,2.3,0.756,0.5,1.2,1.7,2.6,0.5,0.1,1.5,1.9,10.9
Kenny Battle,1990,SG,25.0,PHO,59.0,8.0,12.4,1.6,2.9,0.547,0.0,0.1,0.25,1.6,2.8,0.554,0.55,0.9,1.4,0.671,0.7,1.4,2.1,0.6,0.6,0.2,0.5,1.6,4.1
William Bedford,1990,C,26.0,DET,42.0,0.0,5.9,1.3,3.0,0.432,0.0,0.1,0.167,1.3,2.8,0.445,0.436,0.2,0.5,0.409,0.4,1.0,1.4,0.1,0.1,0.4,0.5,0.9,2.8
Benoit Benjamin,1990,C,25.0,LAC,71.0,58.0,32.6,5.1,9.7,0.526,0.0,0.0,0.0,5.1,9.7,0.527,0.526,3.3,4.5,0.732,2.2,7.1,9.3,2.2,0.8,2.6,2.6,3.1,13.5
Winston Bennett,1990,SF,24.0,CLE,55.0,34.0,18.0,2.5,5.2,0.479,0.0,0.0,0.0,2.5,5.2,0.479,0.479,1.2,1.7,0.667,1.5,1.9,3.4,1.0,0.4,0.2,1.1,2.4,6.1
Larry Bird*,1990,SF,33.0,BOS,75.0,75.0,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3
Uwe Blab,1990,C,27.0,TOT,47.0,33.0,11.3,0.8,2.1,0.398,0.0,0.0,0.0,0.8,2.1,0.398,0.398,0.4,0.8,0.541,0.6,1.7,2.3,0.5,0.0,0.5,0.7,2.2,2.1
Uwe Blab,1990,C,27.0,GSW,40.0,33.0,12.0,0.8,2.2,0.379,0.0,0.0,0.0,0.8,2.2,0.379,0.379,0.4,0.8,0.548,0.7,1.8,2.5,0.6,0.0,0.6,0.8,2.3,2.1
Uwe Blab,1990,C,27.0,SAS,7.0,0.0,7.1,0.9,1.6,0.545,0.0,0.0,0.0,0.9,1.6,0.545,0.545,0.4,0.9,0.5,0.1,1.1,1.3,0.1,0.0,0.0,0.7,1.3,2.1
Rolando Blackman,1990,SG,30.0,DAL,80.0,80.0,36.7,7.8,15.7,0.498,0.2,0.5,0.302,7.7,15.2,0.505,0.504,3.6,4.3,0.844,1.1,2.4,3.5,3.6,1.0,0.3,2.2,1.6,19.4
Mookie Blaylock,1990,PG,22.0,NJN,50.0,17.0,25.3,4.2,11.4,0.371,0.4,1.6,0.225,3.9,9.8,0.395,0.387,1.3,1.6,0.778,0.8,2.0,2.8,4.2,1.6,0.3,2.2,2.2,10.1
Muggsy Bogues,1990,PG,25.0,CHH,81.0,65.0,33.9,4.0,8.2,0.491,0.1,0.3,0.192,4.0,7.9,0.503,0.495,1.3,1.7,0.791,0.6,2.0,2.6,10.7,2.0,0.0,1.8,2.1,9.4
Manute Bol,1990,C,27.0,GSW,75.0,20.0,17.5,0.7,2.3,0.331,0.1,0.6,0.188,0.6,1.6,0.388,0.358,0.3,0.7,0.51,0.4,3.2,3.7,0.5,0.2,3.2,0.7,2.6,1.9
Anthony Bowie,1990,SG,26.0,HOU,66.0,0.0,13.9,1.8,4.4,0.406,0.1,0.3,0.286,1.7,4.1,0.415,0.416,0.6,0.8,0.741,0.5,1.2,1.8,1.5,0.6,0.1,0.9,1.2,4.3
Sam Bowie,1990,C,28.0,NJN,68.0,54.0,32.5,5.1,12.3,0.416,0.1,0.5,0.323,5.0,11.8,0.42,0.422,4.3,5.6,0.776,3.0,7.1,10.1,1.3,0.6,1.8,1.8,3.1,14.7
Adrian Branch,1990,SF,26.0,MIN,11.0,0.0,8.3,2.3,5.5,0.41,0.1,0.1,1.0,2.2,5.5,0.4,0.418,1.3,2.0,0.636,0.7,1.1,1.8,0.4,0.5,0.0,0.7,1.3,5.9
Randy Breuer,1990,C,29.0,TOT,81.0,55.0,23.2,3.7,8.6,0.428,0.0,0.0,0.0,3.7,8.6,0.429,0.428,1.6,2.4,0.653,1.9,3.2,5.1,1.2,0.5,1.3,1.2,2.4,8.9
Randy Breuer,1990,C,29.0,MIL,30.0,8.0,18.5,2.9,6.2,0.462,0.0,0.0,0.0,2.9,6.2,0.462,0.462,1.1,1.7,0.627,1.4,2.8,4.2,0.4,0.3,1.1,0.9,2.1,6.8
Randy Breuer,1990,C,29.0,MIN,51.0,47.0,26.0,4.2,10.0,0.416,0.0,0.0,0.0,4.2,10.0,0.417,0.416,1.8,2.8,0.662,2.2,3.5,5.7,1.6,0.6,1.5,1.3,2.6,10.2
