Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,2000,SG,25.0,TOT,61.0,56.0,25.9,4.5,10.6,0.424,0.0,0.4,0.13,4.4,10.2,0.435,0.426,2.4,3.2,0.756,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4
Tariq Abdul-Wahad,2000,SG,25.0,ORL,46.0,46.0,26.2,4.8,11.2,0.433,0.0,0.5,0.095,4.8,10.7,0.447,0.435,2.5,3.3,0.762,1.7,3.5,5.2,1.6,1.2,0.3,1.9,2.5,12.2
Tariq Abdul-Wahad,2000,SG,25.0,DEN,15.0,10.0,24.9,3.4,8.7,0.389,0.1,0.1,0.5,3.3,8.6,0.388,0.393,2.1,2.8,0.738,1.6,1.9,3.5,1.7,0.4,0.8,1.3,2.1,8.9
Shareef Abdur-Rahim,2000,SF,23.0,VAN,82.0,82.0,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3
Cory Alexander,2000,PG,26.0,DEN,29.0,2.0,11.3,1.0,3.4,0.286,0.3,1.2,0.257,0.7,2.2,0.302,0.332,0.6,0.8,0.773,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8
Ray Allen*,2000,SG,24.0,MIL,82.0,82.0,37.4,7.8,17.2,0.455,2.1,5.0,0.423,5.7,12.2,0.468,0.516,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1
Rafer Alston,2000,PG,23.0,MIL,27.0,0.0,13.4,1.0,3.5,0.284,0.1,0.5,0.214,0.9,3.0,0.296,0.3,0.1,0.1,0.75,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2
John Amaechi,2000,C,29.0,ORL,80.0,53.0,21.1,3.8,8.8,0.437,0.0,0.1,0.167,3.8,8.7,0.439,0.438,2.8,3.6,0.766,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5
Derek Anderson,2000,SG,25.0,LAC,64.0,58.0,34.4,5.9,13.4,0.438,0.9,2.8,0.309,5.0,10.7,0.472,0.47,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9
Kenny Anderson,2000,PG,29.0,BOS,82.0,82.0,31.6,5.3,12.0,0.44,1.0,2.7,0.386,4.3,9.3,0.456,0.483,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0
Nick Anderson,2000,SG,32.0,SAC,72.0,72.0,29.1,4.3,10.9,0.391,1.8,5.5,0.332,2.4,5.3,0.452,0.476,0.5,1.1,0.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8
Shandon Anderson,2000,SF,26.0,HOU,82.0,82.0,32.9,4.5,9.5,0.473,1.0,2.7,0.351,3.5,6.7,0.523,0.524,2.4,3.1,0.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3
Chris Anstey,2000,C,25.0,CHI,73.0,11.0,13.8,2.2,5.0,0.442,0.0,0.1,0.167,2.2,4.9,0.447,0.444,1.6,2.0,0.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6.0
Greg Anthony,2000,PG,32.0,POR,82.0,3.0,18.9,2.1,5.1,0.406,1.1,2.8,0.378,1.0,2.2,0.443,0.512,1.1,1.4,0.772,0.2,1.4,1.6,2.5,0.7,0.1,1.0,1.7,6.3
B.J. Armstrong,2000,PG,32.0,CHI,27.0,18.0,21.6,3.1,6.9,0.446,0.5,1.1,0.448,2.6,5.8,0.446,0.481,0.8,0.9,0.88,0.1,1.7,1.7,2.9,0.3,0.0,1.5,1.3,7.4
Darrell Armstrong,2000,PG,31.0,ORL,82.0,82.0,31.6,5.9,13.6,0.433,1.7,4.9,0.34,4.2,8.7,0.485,0.494,2.7,3.0,0.911,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2
Chucky Atkins,2000,PG,25.0,ORL,82.0,0.0,19.8,3.8,9.0,0.424,0.7,2.0,0.35,3.1,7.0,0.445,0.462,1.2,1.6,0.729,0.2,1.3,1.5,3.7,0.6,0.0,1.7,1.7,9.5
Stacey Augmon,2000,SG,31.0,POR,59.0,0.0,11.7,1.4,3.0,0.474,0.0,0.0,0.0,1.4,2.9,0.48,0.474,0.6,0.9,0.673,0.7,1.3,2.0,0.9,0.5,0.2,0.6,1.2,3.4
