Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette,1964,PG,25.0,CIN,48.0,0.0,501.0,71.0,196.0,0.36200000000000004,0.0,0.0,0.0,71.0,196.0,0.36200000000000004,0.36200000000000004,42.0,54.0,0.778,0.0,0.0,54.0,71.0,0.0,0.0,0.0,105.0,184.0
Al Attles*,1964,PG,27.0,SFW,70.0,0.0,1883.0,289.0,640.0,0.452,0.0,0.0,0.0,289.0,640.0,0.452,0.452,185.0,275.0,0.6729999999999999,0.0,0.0,236.0,197.0,0.0,0.0,0.0,249.0,763.0
Dick Barnett,1964,SG,27.0,LAL,78.0,0.0,2620.0,541.0,1197.0,0.452,0.0,0.0,0.0,541.0,1197.0,0.452,0.452,351.0,454.0,0.773,0.0,0.0,250.0,238.0,0.0,0.0,0.0,233.0,1433.0
John Barnhill,1964,SG,25.0,STL,74.0,0.0,1367.0,208.0,505.0,0.41200000000000003,0.0,0.0,0.0,208.0,505.0,0.41200000000000003,0.41200000000000003,70.0,115.0,0.609,0.0,0.0,157.0,145.0,0.0,0.0,0.0,107.0,486.0
Elgin Baylor*,1964,SF,29.0,LAL,78.0,0.0,3164.0,756.0,1778.0,0.425,0.0,0.0,0.0,756.0,1778.0,0.425,0.425,471.0,586.0,0.804,0.0,0.0,936.0,347.0,0.0,0.0,0.0,235.0,1983.0
Zelmo Beaty*,1964,C,24.0,STL,59.0,0.0,1922.0,287.0,647.0,0.444,0.0,0.0,0.0,287.0,647.0,0.444,0.444,200.0,270.0,0.741,0.0,0.0,633.0,79.0,0.0,0.0,0.0,262.0,774.0
Walt Bellamy*,1964,C,24.0,BAL,80.0,0.0,3394.0,811.0,1582.0,0.513,0.0,0.0,0.0,811.0,1582.0,0.513,0.513,537.0,825.0,0.6509999999999999,0.0,0.0,1361.0,126.0,0.0,0.0,0.0,300.0,2159.0
Al Bianchi,1964,PG,31.0,PHI,78.0,0.0,1437.0,257.0,684.0,0.376,0.0,0.0,0.0,257.0,684.0,0.376,0.376,109.0,141.0,0.773,0.0,0.0,147.0,149.0,0.0,0.0,0.0,248.0,623.0
Bucky Bockhorn,1964,SG,30.0,CIN,70.0,0.0,1670.0,242.0,587.0,0.41200000000000003,0.0,0.0,0.0,242.0,587.0,0.41200000000000003,0.41200000000000003,96.0,126.0,0.762,0.0,0.0,205.0,173.0,0.0,0.0,0.0,227.0,580.0
Bob Boozer,1964,SF,26.0,TOT,81.0,0.0,2379.0,468.0,1096.0,0.42700000000000005,0.0,0.0,0.0,468.0,1096.0,0.42700000000000005,0.42700000000000005,272.0,376.0,0.723,0.0,0.0,596.0,96.0,0.0,0.0,0.0,231.0,1208.0
Bob Boozer,1964,SF,26.0,CIN,32.0,0.0,727.0,139.0,334.0,0.41600000000000004,0.0,0.0,0.0,139.0,334.0,0.41600000000000004,0.41600000000000004,74.0,119.0,0.622,0.0,0.0,178.0,33.0,0.0,0.0,0.0,83.0,352.0
Bob Boozer,1964,SF,26.0,NYK,49.0,0.0,1652.0,329.0,762.0,0.43200000000000005,0.0,0.0,0.0,329.0,762.0,0.43200000000000005,0.43200000000000005,198.0,257.0,0.77,0.0,0.0,418.0,63.0,0.0,0.0,0.0,148.0,856.0
Bill Bridges,1964,PF,24.0,STL,80.0,0.0,1949.0,268.0,675.0,0.397,0.0,0.0,0.0,268.0,675.0,0.397,0.397,146.0,224.0,0.652,0.0,0.0,680.0,181.0,0.0,0.0,0.0,269.0,682.0
Dave Budd,1964,SF,25.0,NYK,73.0,0.0,1031.0,128.0,297.0,0.431,0.0,0.0,0.0,128.0,297.0,0.431,0.431,84.0,115.0,0.73,0.0,0.0,276.0,57.0,0.0,0.0,0.0,130.0,340.0
Donnie Butcher,1964,PG,27.0,TOT,78.0,0.0,1971.0,202.0,507.0,0.39799999999999996,0.0,0.0,0.0,202.0,507.0,0.39799999999999996,0.39799999999999996,159.0,256.0,0.621,0.0,0.0,329.0,244.0,0.0,0.0,0.0,249.0,563.0
Donnie Butcher,1964,G,27.0,NYK,26.0,0.0,418.0,37.0,115.0,0.322,0.0,0.0,0.0,37.0,115.0,0.322,0.322,42.0,66.0,0.636,0.0,0.0,67.0,66.0,0.0,0.0,0.0,53.0,116.0
Donnie Butcher,1964,PG,27.0,DET,52.0,0.0,1553.0,165.0,392.0,0.42100000000000004,0.0,0.0,0.0,165.0,392.0,0.42100000000000004,0.42100000000000004,117.0,190.0,0.616,0.0,0.0,262.0,178.0,0.0,0.0,0.0,196.0,447.0
Al Butler,1964,PG,25.0,NYK,76.0,0.0,1379.0,260.0,616.0,0.42200000000000004,0.0,0.0,0.0,260.0,616.0,0.42200000000000004,0.42200000000000004,138.0,187.0,0.738,0.0,0.0,168.0,157.0,0.0,0.0,0.0,167.0,658.0
Barney Cable,1964,SF,28.0,BAL,71.0,0.0,1125.0,116.0,290.0,0.4,0.0,0.0,0.0,116.0,290.0,0.4,0.4,28.0,42.0,0.667,0.0,0.0,301.0,47.0,0.0,0.0,0.0,166.0,260.0
Wilt Chamberlain*,1964,C,27.0,SFW,80.0,0.0,3689.0,1204.0,2298.0,0.524,0.0,0.0,0.0,1204.0,2298.0,0.524,0.524,540.0,1016.0,0.531,0.0,0.0,1787.0,403.0,0.0,0.0,0.0,182.0,2948.0
Len Chappell,1964,PF,23.0,TOT,79.0,0.0,2505.0,531.0,1185.0,0.44799999999999995,0.0,0.0,0.0,531.0,1185.0,0.44799999999999995,0.44799999999999995,288.0,403.0,0.715,0.0,0.0,771.0,83.0,0.0,0.0,0.0,214.0,1350.0
Len Chappell,1964,F-C,23.0,PHI,1.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0
Len Chappell,1964,PF,23.0,NYK,78.0,0.0,2489.0,531.0,1183.0,0.449,0.0,0.0,0.0,531.0,1183.0,0.449,0.449,287.0,401.0,0.716,0.0,0.0,767.0,83.0,0.0,0.0,0.0,212.0,1349.0
Larry Comley,1964,G,24.0,BAL,12.0,0.0,89.0,8.0,37.0,0.21600000000000003,0.0,0.0,0.0,8.0,37.0,0.21600000000000003,0.21600000000000003,9.0,16.0,0.563,0.0,0.0,19.0,12.0,0.0,0.0,0.0,11.0,25.0
Gene Conley,1964,PF,33.0,NYK,46.0,0.0,551.0,74.0,189.0,0.392,0.0,0.0,0.0,74.0,189.0,0.392,0.392,44.0,65.0,0.677,0.0,0.0,156.0,21.0,0.0,0.0,0.0,124.0,192.0
Larry Costello,1964,PG,32.0,PHI,45.0,0.0,1137.0,191.0,408.0,0.46799999999999997,0.0,0.0,0.0,191.0,408.0,0.46799999999999997,0.46799999999999997,147.0,170.0,0.865,0.0,0.0,105.0,167.0,0.0,0.0,0.0,150.0,529.0
Dave DeBusschere*,1964,SF,23.0,DET,15.0,0.0,304.0,52.0,133.0,0.391,0.0,0.0,0.0,52.0,133.0,0.391,0.391,25.0,43.0,0.581,0.0,0.0,105.0,23.0,0.0,0.0,0.0,32.0,129.0
Connie Dierking,1964,C,27.0,PHI,76.0,0.0,1286.0,191.0,514.0,0.37200000000000005,0.0,0.0,0.0,191.0,514.0,0.37200000000000005,0.37200000000000005,114.0,169.0,0.675,0.0,0.0,422.0,50.0,0.0,0.0,0.0,221.0,496.0
Terry Dischinger,1964,SF,23.0,BAL,80.0,0.0,2816.0,604.0,1217.0,0.496,0.0,0.0,0.0,604.0,1217.0,0.496,0.496,454.0,585.0,0.7759999999999999,0.0,0.0,667.0,157.0,0.0,0.0,0.0,321.0,1662.0
Bob Duffy,1964,PG,23.0,TOT,48.0,0.0,662.0,94.0,229.0,0.41,0.0,0.0,0.0,94.0,229.0,0.41,0.41,44.0,65.0,0.677,0.0,0.0,61.0,79.0,0.0,0.0,0.0,48.0,232.0
