Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1981,C,33.0,LAL,80.0,0.0,37.2,10.5,18.2,0.574,0.0,0.0,0.0,10.5,18.2,0.574,0.574,5.3,6.9,0.7659999999999999,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
Tom Abernethy,1981,SF,26.0,TOT,39.0,0.0,7.6,0.6,1.5,0.424,0.0,0.0,0.0,0.6,1.5,0.431,0.424,0.3,0.6,0.591,0.5,0.7,1.2,0.5,0.2,0.1,0.2,0.9,1.6
Tom Abernethy,1981,SF,26.0,GSW,10.0,0.0,3.9,0.1,0.3,0.33299999999999996,0.0,0.0,0.0,0.1,0.3,0.33299999999999996,0.33299999999999996,0.2,0.3,0.667,0.1,0.7,0.8,0.1,0.1,0.0,0.2,0.5,0.4
Tom Abernethy,1981,SF,26.0,IND,29.0,0.0,8.9,0.8,1.9,0.429,0.0,0.0,0.0,0.8,1.9,0.436,0.429,0.4,0.7,0.579,0.7,0.7,1.4,0.6,0.2,0.1,0.2,1.0,2.0
Alvan Adams,1981,C,26.0,PHO,75.0,0.0,27.4,6.1,11.6,0.526,0.0,0.0,0.0,6.1,11.6,0.526,0.526,2.7,3.5,0.768,2.1,5.2,7.3,4.6,1.4,0.9,3.0,3.0,14.9
Darrell Allums,1981,PF,22.0,DAL,22.0,0.0,12.5,1.0,3.0,0.34299999999999997,0.0,0.0,0.0,1.0,3.0,0.348,0.34299999999999997,0.6,1.0,0.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
Tiny Archibald*,1981,PG,32.0,BOS,80.0,72.0,35.3,4.8,9.6,0.499,0.0,0.1,0.0,4.8,9.5,0.505,0.499,4.3,5.2,0.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8
Dennis Awtrey,1981,C,32.0,SEA,47.0,0.0,12.9,0.9,2.0,0.473,0.0,0.0,0.0,0.9,2.0,0.473,0.473,0.3,0.4,0.7,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
James Bailey,1981,PF,23.0,SEA,82.0,0.0,31.0,5.4,10.8,0.499,0.0,0.0,0.5,5.4,10.8,0.499,0.5,3.1,4.4,0.7090000000000001,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4.0,14.0
Greg Ballard,1981,SF,26.0,WSB,82.0,0.0,31.8,6.7,14.5,0.46299999999999997,0.1,0.4,0.21899999999999997,6.6,14.1,0.47,0.466,2.0,2.4,0.847,2.0,5.0,7.1,2.4,1.4,0.5,1.4,2.4,15.5
Mike Bantom,1981,SF,29.0,IND,76.0,0.0,31.3,5.7,11.6,0.489,0.0,0.1,0.0,5.7,11.5,0.49200000000000005,0.489,2.6,3.7,0.708,2.0,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14.0
Billy Ray Bates,1981,SG,24.0,POR,77.0,0.0,20.3,5.7,11.7,0.48700000000000004,0.2,0.7,0.259,5.5,11.0,0.501,0.494,2.2,2.6,0.8540000000000001,0.9,1.1,2.0,2.5,1.1,0.1,1.9,1.6,13.8
Mel Bennett,1981,PF,26.0,UTA,28.0,0.0,11.2,0.9,2.1,0.433,0.0,0.1,0.0,0.9,2.1,0.44799999999999995,0.433,1.9,2.9,0.654,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2.0,3.8
Kent Benson,1981,C,26.0,DET,59.0,0.0,33.2,6.2,13.1,0.473,0.0,0.1,0.0,6.2,13.0,0.475,0.473,3.3,4.3,0.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
Henry Bibby,1981,PG,31.0,SDC,73.0,0.0,15.2,1.6,4.2,0.386,0.4,1.3,0.337,1.2,2.9,0.408,0.43799999999999994,0.9,1.3,0.684,0.3,0.7,1.0,2.7,0.6,0.0,1.0,1.2,4.6
Larry Bird*,1981,PF,24.0,BOS,82.0,82.0,39.5,8.8,18.3,0.478,0.2,0.9,0.27,8.5,17.4,0.489,0.485,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2
Otis Birdsong,1981,SG,25.0,KCK,71.0,0.0,36.5,10.0,18.4,0.544,0.1,0.5,0.28600000000000003,9.9,17.9,0.551,0.547,4.5,6.4,0.6970000000000001,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6
Norman Black,1981,SG,23.0,DET,3.0,0.0,9.3,1.0,3.3,0.3,0.0,0.0,0.0,1.0,3.3,0.3,0.3,0.7,2.7,0.25,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,2.7
Ron Boone,1981,SG,34.0,UTA,52.0,0.0,22.0,3.1,7.1,0.431,0.2,0.8,0.282,2.9,6.4,0.449,0.446,1.4,1.8,0.7979999999999999,0.3,1.3,1.6,3.1,0.6,0.2,2.1,2.4,7.8
Winford Boynes,1981,SG,23.0,DAL,44.0,0.0,17.2,2.8,7.1,0.387,0.0,0.0,0.0,2.8,7.1,0.387,0.387,1.0,1.3,0.818,0.5,1.2,1.7,0.8,0.5,0.4,1.6,1.8,6.5
Dudley Bradley,1981,SG,23.0,IND,82.0,0.0,22.8,3.2,6.8,0.474,0.0,0.2,0.125,3.2,6.6,0.484,0.47600000000000003,1.5,2.2,0.7020000000000001,0.9,1.5,2.4,2.3,2.3,0.5,1.5,2.9,8.0
Mike Bratz,1981,PG,25.0,CLE,80.0,0.0,32.4,4.0,10.2,0.39,0.7,2.1,0.337,3.3,8.1,0.40399999999999997,0.425,1.3,1.7,0.8109999999999999,0.8,1.7,2.5,5.7,1.7,0.2,2.0,2.4,10.0
Jim Brewer,1981,PF,29.0,LAL,78.0,0.0,14.2,1.3,2.5,0.513,0.0,0.0,0.0,1.3,2.5,0.518,0.513,0.2,0.5,0.375,1.6,2.0,3.6,0.7,0.6,0.7,0.6,2.0,2.8
Ron Brewer,1981,SG,25.0,TOT,75.0,0.0,19.4,3.7,8.4,0.436,0.0,0.1,0.14300000000000002,3.7,8.3,0.439,0.43700000000000006,1.2,1.5,0.7979999999999999,0.5,0.7,1.1,2.0,0.8,0.5,1.2,1.3,8.6
Ron Brewer,1981,SG,25.0,POR,29.0,0.0,18.9,3.3,8.5,0.386,0.0,0.1,0.33299999999999996,3.2,8.4,0.387,0.38799999999999996,0.9,1.2,0.765,0.4,0.7,1.1,1.9,1.2,0.3,1.3,1.4,7.5
Ron Brewer,1981,SG,25.0,SAS,46.0,0.0,19.7,3.9,8.4,0.46799999999999997,0.0,0.1,0.0,3.9,8.3,0.47200000000000003,0.46799999999999997,1.4,1.7,0.813,0.5,0.7,1.2,2.0,0.6,0.5,1.2,1.2,9.2
Junior Bridgeman,1981,SF,27.0,MIL,77.0,0.0,28.8,7.0,14.3,0.48700000000000004,0.0,0.3,0.14300000000000002,6.9,14.0,0.494,0.489,2.8,3.1,0.884,1.0,2.7,3.8,3.0,1.1,0.4,1.9,2.4,16.8
