Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,1998,PG,28.0,SAC,31.0,0.0,530.0,103.0,273.0,0.377,5.0,31.0,0.161,98.0,242.0,0.405,0.386,16.0,16.0,1.0,6.0,31.0,37.0,58.0,16.0,1.0,19.0,31.0,227.0
Tariq Abdul-Wahad,1998,SG,23.0,SAC,59.0,16.0,959.0,144.0,357.0,0.403,4.0,19.0,0.211,140.0,338.0,0.414,0.409,84.0,125.0,0.672,44.0,72.0,116.0,51.0,35.0,13.0,65.0,81.0,376.0
Shareef Abdur-Rahim,1998,SF,21.0,VAN,82.0,82.0,2950.0,653.0,1347.0,0.485,21.0,51.0,0.412,632.0,1296.0,0.488,0.493,502.0,640.0,0.784,227.0,354.0,581.0,213.0,89.0,76.0,257.0,201.0,1829.0
Cory Alexander,1998,PG,24.0,TOT,60.0,22.0,1298.0,171.0,400.0,0.428,66.0,176.0,0.375,105.0,224.0,0.469,0.51,80.0,102.0,0.784,17.0,129.0,146.0,209.0,70.0,11.0,112.0,98.0,488.0
Cory Alexander,1998,PG,24.0,SAS,37.0,3.0,501.0,60.0,145.0,0.414,20.0,64.0,0.313,40.0,81.0,0.494,0.483,25.0,37.0,0.676,7.0,40.0,47.0,71.0,25.0,5.0,47.0,53.0,165.0
Cory Alexander,1998,PG,24.0,DEN,23.0,19.0,797.0,111.0,255.0,0.435,46.0,112.0,0.411,65.0,143.0,0.455,0.525,55.0,65.0,0.846,10.0,89.0,99.0,138.0,45.0,6.0,65.0,45.0,323.0
Ray Allen*,1998,SG,22.0,MIL,82.0,82.0,3287.0,563.0,1315.0,0.428,134.0,368.0,0.364,429.0,947.0,0.453,0.479,342.0,391.0,0.875,127.0,278.0,405.0,356.0,111.0,12.0,263.0,244.0,1602.0
Derek Anderson,1998,SF,23.0,CLE,66.0,13.0,1839.0,239.0,586.0,0.408,17.0,84.0,0.202,222.0,502.0,0.442,0.422,275.0,315.0,0.873,55.0,132.0,187.0,227.0,86.0,13.0,128.0,136.0,770.0
Greg Anderson,1998,C,33.0,ATL,50.0,0.0,398.0,36.0,81.0,0.444,0.0,5.0,0.0,36.0,76.0,0.474,0.444,16.0,41.0,0.39,39.0,79.0,118.0,15.0,19.0,10.0,17.0,85.0,88.0
Kenny Anderson,1998,PG,27.0,TOT,61.0,56.0,1858.0,268.0,674.0,0.398,57.0,160.0,0.356,211.0,514.0,0.411,0.44,153.0,194.0,0.789,39.0,134.0,173.0,345.0,87.0,1.0,143.0,135.0,746.0
Kenny Anderson,1998,PG,27.0,POR,45.0,40.0,1472.0,204.0,527.0,0.387,47.0,133.0,0.353,157.0,394.0,0.398,0.432,112.0,145.0,0.772,36.0,98.0,134.0,245.0,61.0,1.0,114.0,99.0,567.0
Kenny Anderson,1998,PG,27.0,BOS,16.0,16.0,386.0,64.0,147.0,0.435,10.0,27.0,0.37,54.0,120.0,0.45,0.469,41.0,49.0,0.837,3.0,36.0,39.0,100.0,26.0,0.0,29.0,36.0,179.0
Nick Anderson,1998,SF,30.0,ORL,58.0,44.0,1701.0,343.0,754.0,0.455,77.0,214.0,0.36,266.0,540.0,0.493,0.506,127.0,199.0,0.638,98.0,199.0,297.0,119.0,72.0,23.0,85.0,98.0,890.0
Shandon Anderson,1998,SG,24.0,UTA,82.0,2.0,1602.0,269.0,500.0,0.538,7.0,32.0,0.219,262.0,468.0,0.56,0.545,136.0,185.0,0.735,86.0,141.0,227.0,89.0,66.0,18.0,91.0,145.0,681.0
Chris Anstey,1998,C,23.0,DAL,41.0,8.0,680.0,92.0,231.0,0.398,3.0,16.0,0.188,89.0,215.0,0.414,0.405,53.0,74.0,0.716,53.0,104.0,157.0,35.0,31.0,27.0,41.0,95.0,240.0
Greg Anthony,1998,PG,30.0,SEA,80.0,0.0,1021.0,150.0,349.0,0.43,66.0,159.0,0.415,84.0,190.0,0.442,0.524,53.0,80.0,0.663,18.0,93.0,111.0,205.0,64.0,3.0,91.0,97.0,419.0
B.J. Armstrong,1998,PG,30.0,TOT,66.0,0.0,831.0,105.0,213.0,0.493,9.0,35.0,0.257,96.0,178.0,0.539,0.514,42.0,50.0,0.84,16.0,60.0,76.0,150.0,29.0,0.0,42.0,74.0,261.0
B.J. Armstrong,1998,PG,30.0,GSW,4.0,0.0,59.0,6.0,19.0,0.316,0.0,1.0,0.0,6.0,18.0,0.333,0.316,5.0,7.0,0.714,4.0,3.0,7.0,6.0,4.0,0.0,7.0,6.0,17.0
B.J. Armstrong,1998,PG,30.0,CHH,62.0,0.0,772.0,99.0,194.0,0.51,9.0,34.0,0.265,90.0,160.0,0.563,0.534,37.0,43.0,0.86,12.0,57.0,69.0,144.0,25.0,0.0,35.0,68.0,244.0
Darrell Armstrong,1998,PG,29.0,ORL,48.0,17.0,1236.0,156.0,380.0,0.411,25.0,68.0,0.368,131.0,312.0,0.42,0.443,105.0,123.0,0.854,65.0,94.0,159.0,236.0,58.0,5.0,112.0,96.0,442.0
Vincent Askew,1998,SG,31.0,POR,30.0,5.0,443.0,19.0,54.0,0.352,0.0,2.0,0.0,19.0,52.0,0.365,0.352,28.0,39.0,0.718,21.0,47.0,68.0,38.0,19.0,5.0,35.0,39.0,66.0
Keith Askins,1998,SF,30.0,MIA,46.0,12.0,681.0,39.0,122.0,0.32,21.0,74.0,0.284,18.0,48.0,0.375,0.406,12.0,19.0,0.632,28.0,73.0,101.0,29.0,27.0,12.0,26.0,107.0,111.0
Stacey Augmon,1998,SG,29.0,POR,71.0,23.0,1445.0,154.0,372.0,0.414,1.0,7.0,0.143,153.0,365.0,0.419,0.415,94.0,156.0,0.603,104.0,131.0,235.0,88.0,57.0,32.0,81.0,144.0,403.0
Isaac Austin,1998,C,28.0,TOT,78.0,50.0,2266.0,406.0,871.0,0.466,0.0,8.0,0.0,406.0,863.0,0.47,0.466,243.0,363.0,0.669,199.0,358.0,557.0,175.0,61.0,56.0,206.0,231.0,1055.0
Isaac Austin,1998,C,28.0,MIA,52.0,25.0,1371.0,252.0,532.0,0.474,0.0,3.0,0.0,252.0,529.0,0.476,0.474,155.0,228.0,0.68,119.0,211.0,330.0,87.0,43.0,34.0,117.0,162.0,659.0
Isaac Austin,1998,C,28.0,LAC,26.0,25.0,895.0,154.0,339.0,0.454,0.0,5.0,0.0,154.0,334.0,0.461,0.454,88.0,135.0,0.652,80.0,147.0,227.0,88.0,18.0,22.0,89.0,69.0,396.0
Vin Baker,1998,C,26.0,SEA,82.0,82.0,2944.0,631.0,1164.0,0.542,1.0,7.0,0.143,630.0,1157.0,0.545,0.543,311.0,526.0,0.591,286.0,370.0,656.0,152.0,91.0,86.0,174.0,278.0,1574.0
Charles Barkley*,1998,PF,34.0,HOU,68.0,41.0,2243.0,361.0,744.0,0.485,18.0,84.0,0.214,343.0,660.0,0.52,0.497,296.0,397.0,0.746,241.0,553.0,794.0,217.0,71.0,28.0,147.0,187.0,1036.0
Dana Barros,1998,PG,30.0,BOS,80.0,15.0,1686.0,281.0,609.0,0.461,100.0,246.0,0.407,181.0,363.0,0.499,0.544,122.0,144.0,0.847,28.0,125.0,153.0,286.0,83.0,6.0,107.0,124.0,784.0
Brent Barry,1998,SG,26.0,TOT,58.0,36.0,1600.0,213.0,506.0,0.421,90.0,229.0,0.393,123.0,277.0,0.444,0.51,115.0,134.0,0.858,29.0,142.0,171.0,153.0,64.0,27.0,104.0,118.0,631.0
Brent Barry,1998,SG,26.0,LAC,41.0,36.0,1341.0,190.0,444.0,0.428,78.0,195.0,0.4,112.0,249.0,0.45,0.516,103.0,122.0,0.844,27.0,116.0,143.0,132.0,50.0,23.0,95.0,88.0,561.0
Brent Barry,1998,SG,26.0,MIA,17.0,0.0,259.0,23.0,62.0,0.371,12.0,34.0,0.353,11.0,28.0,0.393,0.468,12.0,12.0,1.0,2.0,26.0,28.0,21.0,14.0,4.0,9.0,30.0,70.0
Drew Barry,1998,PG,24.0,ATL,27.0,0.0,256.0,18.0,38.0,0.474,9.0,21.0,0.429,9.0,17.0,0.529,0.592,11.0,13.0,0.846,5.0,30.0,35.0,49.0,10.0,1.0,30.0,28.0,56.0
Jon Barry,1998,SG,28.0,LAL,49.0,1.0,374.0,38.0,104.0,0.365,18.0,61.0,0.295,20.0,43.0,0.465,0.452,27.0,29.0,0.931,8.0,29.0,37.0,51.0,24.0,3.0,22.0,33.0,121.0
Tony Battie,1998,PF,21.0,DEN,65.0,49.0,1506.0,234.0,525.0,0.446,3.0,14.0,0.214,231.0,511.0,0.452,0.449,73.0,104.0,0.702,138.0,213.0,351.0,60.0,54.0,69.0,98.0,199.0,544.0
Corey Beck,1998,PG,26.0,CHH,59.0,14.0,738.0,73.0,159.0,0.459,2.0,4.0,0.5,71.0,155.0,0.458,0.465,43.0,59.0,0.729,27.0,63.0,90.0,98.0,33.0,7.0,70.0,100.0,191.0
Benoit Benjamin,1998,C,33.0,PHI,14.0,0.0,197.0,22.0,41.0,0.537,0.0,0.0,0.0,22.0,41.0,0.537,0.537,19.0,30.0,0.633,18.0,35.0,53.0,3.0,4.0,4.0,12.0,26.0,63.0
Mario Bennett,1998,PF,24.0,LAL,45.0,4.0,354.0,80.0,135.0,0.593,1.0,2.0,0.5,79.0,133.0,0.594,0.596,16.0,44.0,0.364,60.0,66.0,126.0,18.0,19.0,11.0,21.0,61.0,177.0
David Benoit,1998,SF,29.0,TOT,77.0,0.0,1123.0,152.0,408.0,0.373,55.0,170.0,0.324,97.0,238.0,0.408,0.44,61.0,74.0,0.824,60.0,143.0,203.0,25.0,35.0,20.0,52.0,157.0,420.0
David Benoit,1998,SF,29.0,NJN,53.0,0.0,799.0,102.0,269.0,0.379,41.0,119.0,0.345,61.0,150.0,0.407,0.455,37.0,44.0,0.841,42.0,99.0,141.0,17.0,26.0,16.0,39.0,120.0,282.0
David Benoit,1998,SF,29.0,ORL,24.0,0.0,324.0,50.0,139.0,0.36,14.0,51.0,0.275,36.0,88.0,0.409,0.41,24.0,30.0,0.8,18.0,44.0,62.0,8.0,9.0,4.0,13.0,37.0,138.0
Travis Best,1998,PG,25.0,IND,82.0,0.0,1547.0,201.0,480.0,0.419,21.0,70.0,0.3,180.0,410.0,0.439,0.441,112.0,131.0,0.855,28.0,94.0,122.0,281.0,85.0,5.0,111.0,193.0,535.0
Chauncey Billups,1998,PG,21.0,TOT,80.0,70.0,2216.0,280.0,749.0,0.374,107.0,325.0,0.329,173.0,424.0,0.408,0.445,226.0,266.0,0.85,62.0,128.0,190.0,314.0,107.0,4.0,174.0,172.0,893.0
Chauncey Billups,1998,PG,21.0,BOS,51.0,44.0,1296.0,177.0,454.0,0.39,64.0,189.0,0.339,113.0,265.0,0.426,0.46,147.0,180.0,0.817,40.0,73.0,113.0,217.0,77.0,2.0,118.0,118.0,565.0
Chauncey Billups,1998,PG,21.0,TOR,29.0,26.0,920.0,103.0,295.0,0.349,43.0,136.0,0.316,60.0,159.0,0.377,0.422,79.0,86.0,0.919,22.0,55.0,77.0,97.0,30.0,2.0,56.0,54.0,328.0
Mookie Blaylock,1998,PG,30.0,ATL,70.0,69.0,2700.0,368.0,938.0,0.392,90.0,334.0,0.269,278.0,604.0,0.46,0.44,95.0,134.0,0.709,81.0,260.0,341.0,469.0,183.0,21.0,176.0,122.0,921.0
Corie Blount,1998,PF,29.0,LAL,70.0,3.0,1029.0,107.0,187.0,0.572,0.0,4.0,0.0,107.0,183.0,0.585,0.572,39.0,78.0,0.5,114.0,184.0,298.0,37.0,29.0,25.0,51.0,157.0,253.0
Muggsy Bogues,1998,PG,33.0,TOT,61.0,31.0,1570.0,141.0,323.0,0.437,4.0,16.0,0.25,137.0,307.0,0.446,0.443,61.0,68.0,0.897,30.0,102.0,132.0,331.0,67.0,3.0,105.0,58.0,347.0
Muggsy Bogues,1998,PG,33.0,CHH,2.0,0.0,16.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,2.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,6.0
