Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1993,PF,24.0,TOT,75.0,52.0,1311.0,245.0,473.0,0.518,0.0,1.0,0.0,245.0,472.0,0.519,0.518,88.0,116.0,0.759,126.0,211.0,337.0,27.0,25.0,26.0,97.0,189.0,578.0
Alaa Abdelnaby,1993,PF,24.0,MIL,12.0,0.0,159.0,26.0,56.0,0.464,0.0,1.0,0.0,26.0,55.0,0.473,0.464,12.0,16.0,0.75,12.0,25.0,37.0,10.0,6.0,4.0,13.0,24.0,64.0
Alaa Abdelnaby,1993,PF,24.0,BOS,63.0,52.0,1152.0,219.0,417.0,0.525,0.0,0.0,0.0,219.0,417.0,0.525,0.525,76.0,100.0,0.76,114.0,186.0,300.0,17.0,19.0,22.0,84.0,165.0,514.0
Mahmoud Abdul-Rauf,1993,PG,23.0,DEN,81.0,81.0,2710.0,633.0,1407.0,0.45,70.0,197.0,0.355,563.0,1210.0,0.465,0.475,217.0,232.0,0.935,51.0,174.0,225.0,344.0,84.0,8.0,187.0,179.0,1553.0
Mark Acres,1993,C,30.0,TOT,18.0,7.0,269.0,26.0,49.0,0.531,1.0,2.0,0.5,25.0,47.0,0.532,0.541,11.0,16.0,0.688,26.0,41.0,67.0,5.0,3.0,6.0,13.0,34.0,64.0
Mark Acres,1993,C,30.0,HOU,6.0,0.0,23.0,2.0,9.0,0.222,1.0,2.0,0.5,1.0,7.0,0.143,0.278,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,6.0
Mark Acres,1993,C,30.0,WSB,12.0,7.0,246.0,24.0,40.0,0.6,0.0,0.0,0.0,24.0,40.0,0.6,0.6,10.0,14.0,0.714,24.0,37.0,61.0,5.0,3.0,6.0,11.0,32.0,58.0
Michael Adams,1993,PG,30.0,WSB,70.0,70.0,2499.0,365.0,831.0,0.439,68.0,212.0,0.321,297.0,619.0,0.48,0.48,237.0,277.0,0.856,52.0,188.0,240.0,526.0,100.0,4.0,175.0,146.0,1035.0
Rafael Addison,1993,SF,28.0,NJN,68.0,15.0,1164.0,182.0,411.0,0.443,7.0,34.0,0.206,175.0,377.0,0.464,0.451,57.0,70.0,0.814,45.0,87.0,132.0,53.0,23.0,11.0,64.0,125.0,428.0
Mark Aguirre,1993,SF,33.0,DET,51.0,15.0,1056.0,187.0,422.0,0.443,30.0,83.0,0.361,157.0,339.0,0.463,0.479,99.0,129.0,0.767,43.0,109.0,152.0,105.0,16.0,7.0,68.0,101.0,503.0
Danny Ainge,1993,SG,33.0,PHO,80.0,0.0,2163.0,337.0,730.0,0.462,150.0,372.0,0.403,187.0,358.0,0.522,0.564,123.0,145.0,0.848,49.0,165.0,214.0,260.0,69.0,8.0,113.0,175.0,947.0
Victor Alexander,1993,C,23.0,GSW,72.0,59.0,1753.0,344.0,667.0,0.516,10.0,22.0,0.455,334.0,645.0,0.518,0.523,111.0,162.0,0.685,132.0,288.0,420.0,93.0,34.0,53.0,120.0,218.0,809.0
Eric Anderson,1993,PF,22.0,NYK,16.0,0.0,44.0,5.0,18.0,0.278,0.0,0.0,0.0,5.0,18.0,0.278,0.278,11.0,13.0,0.846,6.0,8.0,14.0,3.0,3.0,1.0,5.0,14.0,21.0
Kenny Anderson,1993,PG,22.0,NJN,55.0,55.0,2010.0,370.0,850.0,0.435,7.0,25.0,0.28,363.0,825.0,0.44,0.439,180.0,232.0,0.776,51.0,175.0,226.0,449.0,96.0,11.0,153.0,140.0,927.0
Nick Anderson,1993,SG,25.0,ORL,79.0,76.0,2920.0,594.0,1324.0,0.449,88.0,249.0,0.353,506.0,1075.0,0.471,0.482,298.0,402.0,0.741,122.0,355.0,477.0,265.0,128.0,56.0,164.0,200.0,1574.0
Ron Anderson,1993,SF,34.0,PHI,69.0,0.0,1263.0,225.0,544.0,0.414,39.0,120.0,0.325,186.0,424.0,0.439,0.449,72.0,89.0,0.809,62.0,122.0,184.0,93.0,31.0,5.0,63.0,75.0,561.0
Willie Anderson,1993,SG,26.0,SAS,38.0,7.0,560.0,80.0,186.0,0.43,1.0,8.0,0.125,79.0,178.0,0.444,0.433,22.0,28.0,0.786,7.0,50.0,57.0,79.0,14.0,6.0,44.0,52.0,183.0
Greg Anthony,1993,PG,25.0,NYK,70.0,35.0,1699.0,174.0,419.0,0.415,4.0,30.0,0.133,170.0,389.0,0.437,0.42,107.0,159.0,0.673,42.0,128.0,170.0,398.0,113.0,12.0,104.0,141.0,459.0
B.J. Armstrong,1993,PG,25.0,CHI,82.0,74.0,2492.0,408.0,818.0,0.499,63.0,139.0,0.453,345.0,679.0,0.508,0.537,130.0,151.0,0.861,27.0,122.0,149.0,330.0,66.0,6.0,83.0,169.0,1009.0
Vincent Askew,1993,SG,26.0,TOT,73.0,4.0,1129.0,152.0,309.0,0.492,2.0,6.0,0.333,150.0,303.0,0.495,0.495,105.0,149.0,0.705,62.0,99.0,161.0,122.0,40.0,19.0,69.0,135.0,411.0
Vincent Askew,1993,SG,26.0,SAC,9.0,0.0,76.0,8.0,17.0,0.471,0.0,0.0,0.0,8.0,17.0,0.471,0.471,11.0,15.0,0.733,7.0,4.0,11.0,5.0,2.0,1.0,8.0,11.0,27.0
Vincent Askew,1993,SG,26.0,SEA,64.0,4.0,1053.0,144.0,292.0,0.493,2.0,6.0,0.333,142.0,286.0,0.497,0.497,94.0,134.0,0.701,55.0,95.0,150.0,117.0,38.0,18.0,61.0,124.0,384.0
Keith Askins,1993,SF,25.0,MIA,69.0,1.0,935.0,88.0,213.0,0.413,22.0,65.0,0.338,66.0,148.0,0.446,0.465,29.0,40.0,0.725,74.0,124.0,198.0,31.0,31.0,29.0,37.0,141.0,227.0
Stacey Augmon,1993,SG,24.0,ATL,73.0,66.0,2112.0,397.0,792.0,0.501,0.0,4.0,0.0,397.0,788.0,0.504,0.501,227.0,307.0,0.739,141.0,146.0,287.0,170.0,91.0,18.0,157.0,141.0,1021.0
Isaac Austin,1993,C,23.0,UTA,46.0,3.0,306.0,50.0,112.0,0.446,0.0,1.0,0.0,50.0,111.0,0.45,0.446,29.0,44.0,0.659,38.0,41.0,79.0,6.0,8.0,14.0,23.0,60.0,129.0
Anthony Avent,1993,PF,23.0,MIL,82.0,78.0,2285.0,347.0,802.0,0.433,0.0,2.0,0.0,347.0,800.0,0.434,0.433,112.0,172.0,0.651,180.0,332.0,512.0,91.0,57.0,73.0,140.0,237.0,806.0
John Bagley,1993,PG,32.0,BOS,10.0,0.0,97.0,9.0,25.0,0.36,0.0,1.0,0.0,9.0,24.0,0.375,0.36,5.0,6.0,0.833,1.0,6.0,7.0,20.0,2.0,0.0,17.0,11.0,23.0
Thurl Bailey,1993,PF,31.0,MIN,70.0,3.0,1276.0,203.0,446.0,0.455,0.0,0.0,0.0,203.0,446.0,0.455,0.455,119.0,142.0,0.838,53.0,162.0,215.0,61.0,20.0,47.0,60.0,88.0,525.0
Steve Bardo,1993,SG,24.0,DAL,23.0,0.0,175.0,19.0,62.0,0.306,1.0,6.0,0.167,18.0,56.0,0.321,0.315,12.0,17.0,0.706,10.0,27.0,37.0,29.0,8.0,3.0,17.0,28.0,51.0
Charles Barkley*,1993,PF,29.0,PHO,76.0,76.0,2859.0,716.0,1376.0,0.52,67.0,220.0,0.305,649.0,1156.0,0.561,0.545,445.0,582.0,0.765,237.0,691.0,928.0,385.0,119.0,74.0,233.0,196.0,1944.0
Dana Barros,1993,PG,25.0,SEA,69.0,2.0,1243.0,214.0,474.0,0.451,64.0,169.0,0.379,150.0,305.0,0.492,0.519,49.0,59.0,0.831,18.0,89.0,107.0,151.0,63.0,3.0,58.0,78.0,541.0
Jon Barry,1993,SG,23.0,MIL,47.0,0.0,552.0,76.0,206.0,0.369,21.0,63.0,0.333,55.0,143.0,0.385,0.42,33.0,49.0,0.673,10.0,33.0,43.0,68.0,35.0,3.0,42.0,57.0,206.0
John Battle,1993,SG,30.0,CLE,41.0,0.0,497.0,83.0,200.0,0.415,1.0,6.0,0.167,82.0,194.0,0.423,0.418,56.0,72.0,0.778,4.0,25.0,29.0,54.0,9.0,5.0,22.0,39.0,223.0
Kenny Battle,1993,SG,28.0,BOS,3.0,1.0,29.0,6.0,13.0,0.462,0.0,1.0,0.0,6.0,12.0,0.5,0.462,2.0,2.0,1.0,7.0,4.0,11.0,2.0,1.0,0.0,2.0,2.0,14.0
William Bedford,1993,C,29.0,SAS,16.0,0.0,66.0,9.0,27.0,0.333,1.0,1.0,1.0,8.0,26.0,0.308,0.352,6.0,12.0,0.5,1.0,9.0,10.0,0.0,0.0,1.0,1.0,15.0,25.0
Benoit Benjamin,1993,C,28.0,TOT,59.0,6.0,754.0,133.0,271.0,0.491,0.0,0.0,0.0,133.0,271.0,0.491,0.491,69.0,104.0,0.663,51.0,158.0,209.0,22.0,31.0,48.0,78.0,134.0,335.0
Benoit Benjamin,1993,C,28.0,SEA,31.0,6.0,448.0,81.0,163.0,0.497,0.0,0.0,0.0,81.0,163.0,0.497,0.497,47.0,67.0,0.701,27.0,86.0,113.0,12.0,17.0,35.0,42.0,73.0,209.0
Benoit Benjamin,1993,C,28.0,LAL,28.0,0.0,306.0,52.0,108.0,0.481,0.0,0.0,0.0,52.0,108.0,0.481,0.481,22.0,37.0,0.595,24.0,72.0,96.0,10.0,14.0,13.0,36.0,61.0,126.0
Tony Bennett,1993,PG,23.0,CHH,75.0,2.0,857.0,110.0,260.0,0.423,26.0,80.0,0.325,84.0,180.0,0.467,0.473,30.0,41.0,0.732,12.0,51.0,63.0,136.0,30.0,0.0,50.0,110.0,276.0
David Benoit,1993,SF,24.0,UTA,82.0,27.0,1712.0,258.0,592.0,0.436,34.0,98.0,0.347,224.0,494.0,0.453,0.465,114.0,152.0,0.75,116.0,276.0,392.0,43.0,45.0,43.0,90.0,201.0,664.0
Rolando Blackman,1993,SG,33.0,NYK,60.0,33.0,1434.0,239.0,539.0,0.443,31.0,73.0,0.425,208.0,466.0,0.446,0.472,71.0,90.0,0.789,23.0,79.0,102.0,157.0,22.0,10.0,65.0,129.0,580.0
Alex Blackwell,1993,SF,22.0,LAL,27.0,0.0,109.0,14.0,42.0,0.333,0.0,3.0,0.0,14.0,39.0,0.359,0.333,6.0,8.0,0.75,10.0,13.0,23.0,7.0,4.0,2.0,5.0,14.0,34.0
Lance Blanks,1993,SG,26.0,MIN,61.0,2.0,642.0,65.0,150.0,0.433,11.0,43.0,0.256,54.0,107.0,0.505,0.47,20.0,32.0,0.625,18.0,50.0,68.0,72.0,16.0,5.0,31.0,61.0,161.0
Ricky Blanton,1993,SF,26.0,CHI,2.0,0.0,13.0,3.0,7.0,0.429,0.0,0.0,0.0,3.0,7.0,0.429,0.429,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0
Mookie Blaylock,1993,PG,25.0,ATL,80.0,78.0,2820.0,414.0,964.0,0.429,118.0,315.0,0.375,296.0,649.0,0.456,0.491,123.0,169.0,0.728,89.0,191.0,280.0,671.0,203.0,23.0,187.0,156.0,1069.0
Muggsy Bogues,1993,PG,28.0,CHH,81.0,80.0,2833.0,331.0,730.0,0.453,6.0,26.0,0.231,325.0,704.0,0.462,0.458,140.0,168.0,0.833,51.0,247.0,298.0,711.0,161.0,5.0,154.0,179.0,808.0
Manute Bol,1993,C,30.0,PHI,58.0,23.0,855.0,52.0,127.0,0.409,10.0,32.0,0.313,42.0,95.0,0.442,0.449,12.0,19.0,0.632,44.0,149.0,193.0,18.0,14.0,119.0,50.0,87.0,126.0
Walter Bond,1993,SG,23.0,DAL,74.0,38.0,1578.0,227.0,565.0,0.402,7.0,42.0,0.167,220.0,523.0,0.421,0.408,129.0,167.0,0.772,52.0,144.0,196.0,122.0,75.0,18.0,112.0,223.0,590.0
Anthony Bonner,1993,PF,24.0,SAC,70.0,35.0,1764.0,229.0,497.0,0.461,0.0,7.0,0.0,229.0,490.0,0.467,0.461,143.0,241.0,0.593,188.0,267.0,455.0,96.0,86.0,17.0,105.0,183.0,601.0
Anthony Bowie,1993,SG,29.0,ORL,77.0,45.0,1761.0,268.0,569.0,0.471,15.0,48.0,0.313,253.0,521.0,0.486,0.484,67.0,84.0,0.798,36.0,158.0,194.0,175.0,54.0,14.0,84.0,131.0,618.0
