Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,1973,C,26.0,HOU,48.0,0.0,18.8,3.1,7.8,0.397,0.0,0.0,0.0,3.1,7.8,0.397,0.397,2.5,3.4,0.735,0.0,0.0,6.3,1.1,0.0,0.0,0.0,2.3,8.7
Kareem Abdul-Jabbar*,1973,C,25.0,MIL,76.0,0.0,42.8,12.9,23.3,0.554,0.0,0.0,0.0,12.9,23.3,0.554,0.554,4.3,6.1,0.713,0.0,0.0,16.1,5.0,0.0,0.0,0.0,2.7,30.2
Don Adams,1973,SF,25.0,TOT,74.0,0.0,25.3,3.6,9.2,0.391,0.0,0.0,0.0,3.6,9.2,0.391,0.391,2.0,2.5,0.788,0.0,0.0,6.0,1.6,0.0,0.0,0.0,3.1,9.1
Don Adams,1973,SF,25.0,ATL,4.0,0.0,19.0,2.0,9.5,0.211,0.0,0.0,0.0,2.0,9.5,0.211,0.211,1.8,2.0,0.875,0.0,0.0,5.5,1.3,0.0,0.0,0.0,2.8,5.8
Don Adams,1973,SF,25.0,DET,70.0,0.0,25.7,3.7,9.1,0.402,0.0,0.0,0.0,3.7,9.1,0.402,0.402,2.0,2.5,0.784,0.0,0.0,6.0,1.6,0.0,0.0,0.0,3.1,9.3
Rick Adelman,1973,PG,26.0,POR,76.0,0.0,24.0,2.8,6.9,0.408,0.0,0.0,0.0,2.8,6.9,0.408,0.408,1.0,1.3,0.716,0.0,0.0,2.1,3.9,0.0,0.0,0.0,2.0,6.6
Lucius Allen,1973,PG,25.0,MIL,80.0,0.0,33.7,6.8,14.1,0.484,0.0,0.0,0.0,6.8,14.1,0.484,0.484,1.8,2.5,0.715,0.0,0.0,3.5,5.3,0.0,0.0,0.0,2.4,15.5
Tiny Archibald*,1973,PG,24.0,KCO,80.0,0.0,46.0,12.9,26.3,0.488,0.0,0.0,0.0,12.9,26.3,0.488,0.488,8.3,9.8,0.847,0.0,0.0,2.8,11.4,0.0,0.0,0.0,2.6,34.0
Dennis Awtrey,1973,C,24.0,TOT,82.0,0.0,20.6,1.8,3.7,0.479,0.0,0.0,0.0,1.8,3.7,0.479,0.479,1.0,1.9,0.562,0.0,0.0,5.5,2.7,0.0,0.0,0.0,2.9,4.6
Dennis Awtrey,1973,C,24.0,PHI,3.0,0.0,12.3,1.0,2.3,0.429,0.0,0.0,0.0,1.0,2.3,0.429,0.429,0.3,1.3,0.25,0.0,0.0,4.7,0.7,0.0,0.0,0.0,2.7,2.3
Dennis Awtrey,1973,C,24.0,CHI,79.0,0.0,20.9,1.8,3.8,0.48,0.0,0.0,0.0,1.8,3.8,0.48,0.48,1.1,1.9,0.57,0.0,0.0,5.5,2.8,0.0,0.0,0.0,2.9,4.7
Dick Barnett,1973,SG,36.0,NYK,51.0,0.0,10.1,1.7,4.4,0.389,0.0,0.0,0.0,1.7,4.4,0.389,0.389,0.3,0.6,0.533,0.0,0.0,0.8,1.0,0.0,0.0,0.0,1.0,3.8
Jim Barnett,1973,PG,28.0,GSW,82.0,0.0,27.0,4.8,10.3,0.467,0.0,0.0,0.0,4.8,10.3,0.467,0.467,2.2,2.6,0.843,0.0,0.0,3.1,3.7,0.0,0.0,0.0,1.8,11.8
Rick Barry*,1973,SF,28.0,GSW,82.0,0.0,37.5,9.0,19.9,0.452,0.0,0.0,0.0,9.0,19.9,0.452,0.452,4.4,4.8,0.902,0.0,0.0,8.9,4.9,0.0,0.0,0.0,3.0,22.3
Butch Beard,1973,PG,25.0,SEA,73.0,0.0,19.2,2.6,6.0,0.439,0.0,0.0,0.0,2.6,6.0,0.439,0.439,1.4,1.9,0.714,0.0,0.0,2.4,3.4,0.0,0.0,0.0,1.9,6.6
Walt Bellamy*,1973,C,33.0,ATL,74.0,0.0,37.9,6.1,12.2,0.505,0.0,0.0,0.0,6.1,12.2,0.505,0.505,3.8,7.1,0.538,0.0,0.0,13.0,2.4,0.0,0.0,0.0,3.3,16.1
Henry Bibby,1973,PG,23.0,NYK,55.0,0.0,8.6,1.4,3.7,0.38,0.0,0.0,0.0,1.4,3.7,0.38,0.38,1.3,1.6,0.849,0.0,0.0,1.5,1.2,0.0,0.0,0.0,1.2,4.2
Dave Bing*,1973,PG,29.0,DET,82.0,0.0,41.0,8.4,18.8,0.448,0.0,0.0,0.0,8.4,18.8,0.448,0.448,5.6,6.8,0.814,0.0,0.0,3.6,7.8,0.0,0.0,0.0,2.8,22.4
John Block,1973,PF,28.0,TOT,73.0,0.0,28.0,5.4,12.1,0.441,0.0,0.0,0.0,5.4,12.1,0.441,0.441,4.1,5.2,0.794,0.0,0.0,7.7,1.5,0.0,0.0,0.0,3.3,14.8
John Block,1973,PF,28.0,PHI,48.0,0.0,32.5,6.5,14.7,0.441,0.0,0.0,0.0,6.5,14.7,0.441,0.441,4.9,6.3,0.781,0.0,0.0,9.2,2.0,0.0,0.0,0.0,3.6,17.9
John Block,1973,PF,28.0,KCO,25.0,0.0,19.3,3.2,7.2,0.444,0.0,0.0,0.0,3.2,7.2,0.444,0.444,2.6,3.0,0.842,0.0,0.0,4.8,0.8,0.0,0.0,0.0,2.8,9.0
Tom Boerwinkle,1973,C,27.0,CHI,8.0,0.0,22.0,1.1,3.0,0.375,0.0,0.0,0.0,1.1,3.0,0.375,0.375,1.5,2.5,0.6,0.0,0.0,6.8,5.0,0.0,0.0,0.0,2.8,3.8
Freddie Boyd,1973,PG,22.0,PHI,82.0,0.0,28.7,4.4,11.3,0.392,0.0,0.0,0.0,4.4,11.3,0.392,0.392,1.7,2.4,0.68,0.0,0.0,2.6,3.7,0.0,0.0,0.0,2.2,10.5
Steve Bracey,1973,PG,22.0,ATL,70.0,0.0,15.0,2.7,5.6,0.486,0.0,0.0,0.0,2.7,5.6,0.486,0.486,1.0,1.6,0.664,0.0,0.0,1.5,1.8,0.0,0.0,0.0,1.8,6.5
Bill Bradley*,1973,SF,29.0,NYK,82.0,0.0,36.6,7.0,15.3,0.459,0.0,0.0,0.0,7.0,15.3,0.459,0.459,2.1,2.4,0.871,0.0,0.0,3.7,4.5,0.0,0.0,0.0,3.3,16.1
