Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1979,C,31.0,LAL,80.0,0.0,39.5,9.7,16.8,0.577,0.0,0.0,0.0,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8
Tom Abernethy,1979,PF,24.0,GSW,70.0,0.0,17.4,2.5,4.9,0.515,0.0,0.0,0.0,2.5,4.9,0.515,0.515,1.0,1.3,0.745,1.1,2.0,3.1,1.1,0.6,0.2,0.5,1.9,6.0
Alvan Adams,1979,C,24.0,PHO,77.0,0.0,30.7,7.4,13.9,0.53,0.0,0.0,0.0,7.4,13.9,0.53,0.53,3.0,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8
Lucius Allen,1979,PG,31.0,KCK,31.0,0.0,13.3,2.2,5.6,0.397,0.0,0.0,0.0,2.2,5.6,0.397,0.397,0.6,1.1,0.576,0.5,1.0,1.5,1.4,0.7,0.2,1.0,1.7,5.1
Kim Anderson,1979,SF,23.0,POR,21.0,0.0,10.7,1.1,3.7,0.312,0.0,0.0,0.0,1.1,3.7,0.312,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0
Tiny Archibald*,1979,PG,30.0,BOS,69.0,0.0,24.1,3.8,8.3,0.452,0.0,0.0,0.0,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0
Tate Armstrong,1979,SG,23.0,CHI,26.0,0.0,10.0,1.1,2.7,0.4,0.0,0.0,0.0,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0.0,0.8,0.8,2.5
Dennis Awtrey,1979,C,30.0,TOT,63.0,0.0,11.8,0.7,1.7,0.411,0.0,0.0,0.0,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2.0
Dennis Awtrey,1979,C,30.0,BOS,23.0,0.0,10.7,0.7,1.9,0.386,0.0,0.0,0.0,0.7,1.9,0.386,0.386,0.7,0.9,0.8,0.6,1.5,2.0,0.9,0.1,0.3,0.9,1.6,2.2
Dennis Awtrey,1979,C,30.0,SEA,40.0,0.0,12.5,0.7,1.6,0.429,0.0,0.0,0.0,0.7,1.6,0.429,0.429,0.6,0.9,0.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2.0
Gus Bailey,1979,SG,27.0,NOJ,2.0,0.0,4.5,1.0,3.5,0.286,0.0,0.0,0.0,1.0,3.5,0.286,0.286,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.0
Greg Ballard,1979,SF,24.0,WSB,82.0,0.0,18.9,3.2,6.8,0.465,0.0,0.0,0.0,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2.0,7.8
Mike Bantom,1979,PF,27.0,IND,81.0,0.0,31.2,6.0,12.8,0.465,0.0,0.0,0.0,6.0,12.8,0.465,0.465,2.8,4.2,0.672,2.8,5.2,8.0,2.8,1.2,0.8,2.4,3.9,14.7
Tom Barker,1979,C,23.0,TOT,39.0,0.0,12.2,1.7,4.0,0.436,0.0,0.0,0.0,1.7,4.0,0.436,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2
Tom Barker,1979,C,23.0,HOU,5.0,0.0,3.2,0.6,1.2,0.5,0.0,0.0,0.0,0.6,1.2,0.5,0.5,0.4,0.4,1.0,0.4,0.8,1.2,0.0,0.0,0.0,0.2,1.0,1.6
Tom Barker,1979,C,23.0,BOS,12.0,0.0,10.9,1.8,4.0,0.438,0.0,0.0,0.0,1.8,4.0,0.438,0.438,0.9,1.3,0.733,1.0,1.5,2.5,0.5,0.3,0.3,1.1,2.2,4.4
Tom Barker,1979,C,23.0,NYK,22.0,0.0,15.0,2.0,4.6,0.431,0.0,0.0,0.0,2.0,4.6,0.431,0.431,0.6,0.9,0.7,1.4,2.4,3.8,0.4,0.3,0.3,0.9,2.0,4.6
Marvin Barnes,1979,PF,26.0,BOS,38.0,0.0,20.9,3.5,7.1,0.491,0.0,0.0,0.0,3.5,7.1,0.491,0.491,1.1,1.7,0.652,1.5,3.2,4.7,1.4,1.0,1.0,1.8,3.8,8.1
Rick Barry*,1979,SF,34.0,HOU,80.0,0.0,32.1,5.8,12.5,0.461,0.0,0.0,0.0,5.8,12.5,0.461,0.461,2.0,2.1,0.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5
Tim Bassett,1979,PF,27.0,NJN,82.0,0.0,18.4,1.4,3.8,0.371,0.0,0.0,0.0,1.4,3.8,0.371,0.371,1.1,1.6,0.679,2.1,3.0,5.1,1.2,0.5,0.4,1.3,2.7,3.9
Butch Beard,1979,PG,31.0,NYK,7.0,0.0,12.1,1.6,3.7,0.423,0.0,0.0,0.0,1.6,3.7,0.423,0.423,0.0,0.0,0.0,0.1,1.3,1.4,2.7,1.0,0.0,1.4,1.9,3.1
Ron Behagen,1979,PF,28.0,TOT,15.0,0.0,11.0,1.9,4.1,0.452,0.0,0.0,0.0,1.9,4.1,0.452,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4
Ron Behagen,1979,PF,28.0,DET,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Ron Behagen,1979,PF,28.0,NYK,5.0,0.0,7.6,1.0,2.4,0.417,0.0,0.0,0.0,1.0,2.4,0.417,0.417,0.4,0.4,1.0,0.4,1.8,2.2,0.4,0.4,0.0,0.8,1.6,2.4
Ron Behagen,1979,PF,28.0,KCK,9.0,0.0,14.0,2.6,5.6,0.46,0.0,0.0,0.0,2.6,5.6,0.46,0.46,0.9,1.2,0.727,1.2,2.2,3.4,0.6,0.2,0.1,0.7,3.0,6.0
Kent Benson,1979,C,24.0,MIL,82.0,0.0,26.0,5.0,9.7,0.518,0.0,0.0,0.0,5.0,9.7,0.518,0.518,2.2,3.0,0.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3
Del Beshore,1979,PG,22.0,MIL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Bibby,1979,PG,29.0,PHI,82.0,0.0,31.0,4.5,10.6,0.423,0.0,0.0,0.0,4.5,10.6,0.423,0.423,3.2,4.1,0.794,0.9,2.1,3.0,4.5,0.9,0.1,2.4,2.4,12.2
Bob Bigelow,1979,SF,25.0,SDC,29.0,0.0,14.2,1.2,3.1,0.4,0.0,0.0,0.0,1.2,3.1,0.4,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9
Otis Birdsong,1979,SG,23.0,KCK,82.0,0.0,34.6,9.0,17.8,0.509,0.0,0.0,0.0,9.0,17.8,0.509,0.509,3.6,5.0,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7
Ron Boone,1979,SG,32.0,LAL,82.0,0.0,19.3,3.2,6.9,0.455,0.0,0.0,0.0,3.2,6.9,0.455,0.455,1.1,1.3,0.865,0.6,1.1,1.8,1.9,0.8,0.1,1.8,2.1,7.4
Tom Boswell,1979,PF,25.0,DEN,79.0,0.0,27.9,4.1,7.6,0.532,0.0,0.0,0.0,4.1,7.6,0.532,0.532,2.5,3.6,0.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6
Dennis Boyd,1979,PG,24.0,DET,5.0,0.0,8.0,0.6,2.4,0.25,0.0,0.0,0.0,0.6,2.4,0.25,0.25,0.0,0.0,0.0,0.0,0.4,0.4,1.4,0.0,0.0,1.2,1.0,1.2
