Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,1978,PF-C,31.0,TOT,16.0,0.0,9.9,1.4,3.8,0.383,0.0,0.0,0.0,1.4,3.8,0.383,0.383,1.1,1.4,0.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9
Zaid Abdul-Aziz,1978,C,31.0,BOS,2.0,0.0,12.0,1.5,6.5,0.231,0.0,0.0,0.0,1.5,6.5,0.231,0.231,1.0,1.5,0.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0
Zaid Abdul-Aziz,1978,PF,31.0,HOU,14.0,0.0,9.6,1.4,3.4,0.426,0.0,0.0,0.0,1.4,3.4,0.426,0.426,1.1,1.4,0.75,0.9,1.6,2.5,0.5,0.1,0.1,0.8,1.8,3.9
Kareem Abdul-Jabbar*,1978,C,30.0,LAL,62.0,0.0,36.5,10.7,19.4,0.55,0.0,0.0,0.0,10.7,19.4,0.55,0.55,4.4,5.6,0.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8
Tom Abernethy,1978,SF,23.0,LAL,73.0,0.0,18.0,2.8,5.5,0.498,0.0,0.0,0.0,2.8,5.5,0.498,0.498,1.2,1.5,0.82,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8
Alvan Adams,1978,C,23.0,PHO,70.0,0.0,27.3,6.2,12.8,0.485,0.0,0.0,0.0,6.2,12.8,0.485,0.485,3.1,4.2,0.73,2.3,5.8,8.1,3.2,1.2,0.9,3.3,3.5,15.5
Lucius Allen,1978,PG,30.0,KCK,77.0,0.0,27.9,4.8,11.0,0.441,0.0,0.0,0.0,4.8,11.0,0.441,0.441,2.3,2.9,0.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9
Jim Ard,1978,C,29.0,TOT,15.0,0.0,8.3,0.5,1.1,0.471,0.0,0.0,0.0,0.5,1.1,0.471,0.471,0.2,0.3,0.6,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3
Jim Ard,1978,C,29.0,BOS,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
Jim Ard,1978,C,29.0,CHI,14.0,0.0,8.3,0.6,1.1,0.5,0.0,0.0,0.0,0.6,1.1,0.5,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3
