Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,1975,C,28.0,HOU,65.0,0.0,22.3,3.6,8.3,0.437,0.0,0.0,0.0,3.6,8.3,0.437,0.437,2.4,3.1,0.783,2.4,5.1,7.5,1.3,0.6,1.1,0.0,2.0,9.7
Kareem Abdul-Jabbar*,1975,C,27.0,MIL,65.0,0.0,42.3,12.5,24.4,0.513,0.0,0.0,0.0,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,0.0,3.2,30.0
Don Adams,1975,SF,27.0,DET,51.0,0.0,27.0,2.5,6.2,0.403,0.0,0.0,0.0,2.5,6.2,0.403,0.403,0.9,1.5,0.577,1.2,3.5,4.8,1.5,1.4,0.4,0.0,3.5,5.9
Rick Adelman,1975,PG,28.0,TOT,58.0,0.0,18.5,2.1,5.0,0.423,0.0,0.0,0.0,2.1,5.0,0.423,0.423,1.3,1.8,0.709,0.4,1.2,1.6,1.9,1.2,0.1,0.0,1.7,5.5
Rick Adelman,1975,PG,28.0,CHI,12.0,0.0,28.3,3.6,8.7,0.413,0.0,0.0,0.0,3.6,8.7,0.413,0.413,2.3,3.3,0.718,0.5,1.7,2.2,2.9,1.3,0.1,0.0,2.6,9.5
Rick Adelman,1975,PG,28.0,NOJ,28.0,0.0,21.9,2.4,5.7,0.421,0.0,0.0,0.0,2.4,5.7,0.421,0.421,1.5,2.1,0.695,0.5,1.5,2.0,2.5,1.7,0.2,0.0,2.1,6.3
Rick Adelman,1975,PG,28.0,KCO,18.0,0.0,6.7,0.7,1.6,0.464,0.0,0.0,0.0,0.7,1.6,0.464,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,0.0,0.7,1.7
Lucius Allen,1975,PG,27.0,TOT,66.0,0.0,35.7,7.7,17.7,0.437,0.0,0.0,0.0,7.7,17.7,0.437,0.437,3.6,4.6,0.778,1.4,2.8,4.2,5.6,2.1,0.4,0.0,3.3,19.1
Lucius Allen,1975,PG,27.0,MIL,10.0,0.0,34.2,6.8,16.4,0.415,0.0,0.0,0.0,6.8,16.4,0.415,0.415,3.1,3.7,0.838,0.9,2.2,3.1,5.3,1.4,0.1,0.0,2.3,16.7
Lucius Allen,1975,PG,27.0,LAL,56.0,0.0,35.9,7.9,18.0,0.44,0.0,0.0,0.0,7.9,18.0,0.44,0.44,3.7,4.8,0.77,1.4,3.0,4.4,5.7,2.2,0.5,0.0,3.5,19.5
Dan Anderson,1975,SG,24.0,POR,43.0,0.0,10.5,1.1,2.4,0.448,0.0,0.0,0.0,1.1,2.4,0.448,0.448,0.6,0.7,0.867,0.2,0.5,0.7,1.9,0.4,0.0,0.0,1.0,2.8
Tiny Archibald*,1975,PG,26.0,KCO,82.0,0.0,39.6,9.3,20.3,0.456,0.0,0.0,0.0,9.3,20.3,0.456,0.456,8.0,9.1,0.872,0.6,2.1,2.7,6.8,1.5,0.1,0.0,2.3,26.5
Jim Ard,1975,C,26.0,BOS,59.0,0.0,12.2,1.5,4.5,0.335,0.0,0.0,0.0,1.5,4.5,0.335,0.335,0.8,1.1,0.738,1.0,2.4,3.4,0.7,0.2,0.5,0.0,1.6,3.8
Dennis Awtrey,1975,C,26.0,PHO,82.0,0.0,34.6,4.1,8.8,0.47,0.0,0.0,0.0,4.1,8.8,0.47,0.47,1.6,2.4,0.677,3.0,5.6,8.6,4.2,0.7,0.6,0.0,2.8,9.9
Gus Bailey,1975,SG,23.0,HOU,47.0,0.0,9.5,1.1,2.7,0.405,0.0,0.0,0.0,1.1,2.7,0.405,0.405,0.4,0.9,0.488,0.5,1.3,1.7,1.3,0.4,0.3,0.0,1.1,2.6
Mike Bantom,1975,SF,23.0,PHO,82.0,0.0,27.3,5.1,11.1,0.461,0.0,0.0,0.0,5.1,11.1,0.461,0.461,2.3,3.2,0.714,2.6,4.2,6.7,1.9,0.8,0.6,0.0,3.3,12.5
Jim Barnett,1975,SG,30.0,TOT,73.0,0.0,24.3,3.9,8.9,0.437,0.0,0.0,0.0,3.9,8.9,0.437,0.437,2.7,3.3,0.836,0.8,1.6,2.5,2.4,0.6,0.2,0.0,2.2,10.5
Jim Barnett,1975,SG,30.0,NOJ,45.0,0.0,27.5,4.8,10.7,0.448,0.0,0.0,0.0,4.8,10.7,0.448,0.448,3.5,4.2,0.83,1.0,1.8,2.8,3.0,0.8,0.4,0.0,2.4,13.0
Jim Barnett,1975,SG,30.0,NYK,28.0,0.0,19.2,2.5,6.1,0.407,0.0,0.0,0.0,2.5,6.1,0.407,0.407,1.5,1.8,0.86,0.5,1.3,1.8,1.4,0.4,0.0,0.0,1.8,6.5
Rick Barry*,1975,SF,30.0,GSW,80.0,0.0,40.4,12.9,27.7,0.464,0.0,0.0,0.0,12.9,27.7,0.464,0.464,4.9,5.5,0.904,1.2,4.6,5.7,6.2,2.9,0.4,0.0,2.8,30.6
Butch Beard,1975,PG,27.0,GSW,82.0,0.0,30.7,5.0,9.4,0.528,0.0,0.0,0.0,5.0,9.4,0.528,0.528,2.8,3.4,0.832,1.4,2.4,3.9,4.2,1.6,0.1,0.0,3.6,12.8
Zelmo Beaty*,1975,C,35.0,LAL,69.0,0.0,17.6,2.0,4.5,0.439,0.0,0.0,0.0,2.0,4.5,0.439,0.439,1.6,2.0,0.8,1.3,3.4,4.7,1.1,0.7,0.4,0.0,1.9,5.5
Ron Behagen,1975,PF,24.0,KCO,81.0,0.0,27.2,4.1,10.3,0.399,0.0,0.0,0.0,4.1,10.3,0.399,0.399,2.5,3.3,0.754,1.8,5.5,7.3,1.9,0.7,0.5,0.0,3.7,10.7
Dennis Bell,1975,SF,23.0,NYK,52.0,0.0,8.9,1.3,3.5,0.376,0.0,0.0,0.0,1.3,3.5,0.376,0.376,0.4,0.7,0.556,0.9,1.1,2.0,0.5,0.4,0.2,0.0,1.0,3.0
