Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Attles*,1963,PG,26.0,SFW,71.0,0.0,26.4,4.2,8.9,0.478,0.0,0.0,0.0,4.2,8.9,0.478,0.478,1.9,2.9,0.646,0.0,0.0,2.9,2.6,0.0,0.0,0.0,3.6,10.4
Dick Barnett,1963,SG,26.0,LAL,80.0,0.0,31.8,6.8,14.5,0.471,0.0,0.0,0.0,6.8,14.5,0.471,0.471,4.3,5.3,0.815,0.0,0.0,3.0,2.8,0.0,0.0,0.0,2.4,18.0
John Barnhill,1963,SG,24.0,STL,77.0,0.0,35.0,4.7,10.9,0.43,0.0,0.0,0.0,4.7,10.9,0.43,0.43,2.4,3.3,0.71,0.0,0.0,4.7,4.2,0.0,0.0,0.0,2.2,11.7
Elgin Baylor*,1963,SF,28.0,LAL,80.0,0.0,42.1,12.9,28.4,0.453,0.0,0.0,0.0,12.9,28.4,0.453,0.453,8.3,9.9,0.837,0.0,0.0,14.3,4.8,0.0,0.0,0.0,2.8,34.0
Zelmo Beaty*,1963,C,23.0,STL,80.0,0.0,24.0,3.7,8.5,0.439,0.0,0.0,0.0,3.7,8.5,0.439,0.439,2.8,3.8,0.717,0.0,0.0,8.3,1.1,0.0,0.0,0.0,3.9,10.2
Walt Bellamy*,1963,C,23.0,CHZ,80.0,0.0,41.3,10.5,19.9,0.527,0.0,0.0,0.0,10.5,19.9,0.527,0.527,6.9,10.3,0.674,0.0,0.0,16.4,2.9,0.0,0.0,0.0,3.5,27.9
Al Bianchi,1963,SG,30.0,SYR,61.0,0.0,19.0,3.3,7.8,0.424,0.0,0.0,0.0,3.3,7.8,0.424,0.424,2.0,2.7,0.732,0.0,0.0,2.2,2.8,0.0,0.0,0.0,2.7,8.6
Bucky Bockhorn,1963,SG,29.0,CIN,80.0,0.0,32.7,4.7,11.9,0.393,0.0,0.0,0.0,4.7,11.9,0.393,0.393,2.3,3.0,0.756,0.0,0.0,4.0,3.3,0.0,0.0,0.0,3.3,11.7
Bob Boozer,1963,PF,25.0,CIN,79.0,0.0,31.5,5.6,12.6,0.444,0.0,0.0,0.0,5.6,12.6,0.444,0.444,3.2,4.5,0.714,0.0,0.0,11.1,1.3,0.0,0.0,0.0,3.8,14.3
Bill Bridges,1963,PF,23.0,STL,27.0,0.0,13.9,2.4,5.9,0.413,0.0,0.0,0.0,2.4,5.9,0.413,0.413,1.2,1.9,0.627,0.0,0.0,5.3,0.9,0.0,0.0,0.0,2.1,6.1
Joe Buckhalter,1963,PF,25.0,CIN,2.0,0.0,6.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,1.0
Cleveland Buckner,1963,PF,24.0,NYK,6.0,0.0,4.5,0.8,1.7,0.5,0.0,0.0,0.0,0.8,1.7,0.5,0.5,0.3,0.7,0.5,0.0,0.0,0.7,0.8,0.0,0.0,0.0,1.0,2.0
Dave Budd,1963,SF,24.0,NYK,78.0,0.0,22.1,3.8,7.6,0.493,0.0,0.0,0.0,3.8,7.6,0.493,0.493,1.9,2.6,0.748,0.0,0.0,5.1,1.1,0.0,0.0,0.0,2.6,9.5
Donnie Butcher,1963,SG,26.0,NYK,68.0,0.0,17.5,2.5,6.2,0.406,0.0,0.0,0.0,2.5,6.2,0.406,0.406,1.9,2.9,0.675,0.0,0.0,2.6,2.0,0.0,0.0,0.0,2.4,7.0
Al Butler,1963,PG,24.0,NYK,74.0,0.0,20.1,4.0,9.1,0.439,0.0,0.0,0.0,4.0,9.1,0.439,0.439,1.9,2.5,0.77,0.0,0.0,2.3,2.1,0.0,0.0,0.0,2.0,10.0
Barney Cable,1963,SF,27.0,TOT,61.0,0.0,19.7,2.8,6.2,0.455,0.0,0.0,0.0,2.8,6.2,0.455,0.455,1.0,1.6,0.646,0.0,0.0,3.9,1.4,0.0,0.0,0.0,2.2,6.7
Barney Cable,1963,SF,27.0,STL,42.0,0.0,15.8,2.5,5.1,0.495,0.0,0.0,0.0,2.5,5.1,0.495,0.495,1.0,1.5,0.651,0.0,0.0,3.1,1.0,0.0,0.0,0.0,2.0,6.1
Barney Cable,1963,SF,27.0,CHZ,19.0,0.0,28.5,3.5,8.6,0.402,0.0,0.0,0.0,3.5,8.6,0.402,0.402,1.1,1.7,0.636,0.0,0.0,5.7,2.2,0.0,0.0,0.0,2.6,8.1
Wilt Chamberlain*,1963,C,26.0,SFW,80.0,0.0,47.6,18.3,34.6,0.528,0.0,0.0,0.0,18.3,34.6,0.528,0.528,8.3,13.9,0.593,0.0,0.0,24.3,3.4,0.0,0.0,0.0,1.7,44.8
Len Chappell,1963,PF,22.0,SYR,80.0,0.0,15.5,3.5,7.6,0.465,0.0,0.0,0.0,3.5,7.6,0.465,0.465,1.9,3.0,0.622,0.0,0.0,5.8,0.7,0.0,0.0,0.0,2.1,8.9
Gene Conley,1963,PF,32.0,NYK,70.0,0.0,22.1,3.6,9.3,0.39,0.0,0.0,0.0,3.6,9.3,0.39,0.39,1.7,2.7,0.656,0.0,0.0,6.7,1.0,0.0,0.0,0.0,3.8,9.0
Larry Costello,1963,PG,31.0,SYR,78.0,0.0,26.5,3.7,8.5,0.432,0.0,0.0,0.0,3.7,8.5,0.432,0.432,3.7,4.2,0.881,0.0,0.0,3.0,4.3,0.0,0.0,0.0,3.4,11.0
Bob Cousy*,1963,PG,34.0,BOS,76.0,0.0,26.0,5.2,13.0,0.397,0.0,0.0,0.0,5.2,13.0,0.397,0.397,2.9,3.9,0.735,0.0,0.0,2.5,6.8,0.0,0.0,0.0,2.3,13.2
Johnny Cox,1963,SG,26.0,CHZ,73.0,0.0,23.1,3.3,7.8,0.421,0.0,0.0,0.0,3.3,7.8,0.421,0.421,1.3,1.8,0.704,0.0,0.0,3.8,1.9,0.0,0.0,0.0,2.0,7.8
Dave DeBusschere*,1963,SF,22.0,DET,80.0,0.0,29.4,5.1,11.8,0.43,0.0,0.0,0.0,5.1,11.8,0.43,0.43,2.6,3.6,0.718,0.0,0.0,8.7,2.6,0.0,0.0,0.0,3.1,12.7
Terry Dischinger,1963,SF,22.0,CHZ,57.0,0.0,40.2,9.2,18.0,0.512,0.0,0.0,0.0,9.2,18.0,0.512,0.512,7.1,9.2,0.77,0.0,0.0,8.0,3.1,0.0,0.0,0.0,3.3,25.5
Danny Doyle,1963,PF,22.0,DET,4.0,0.0,6.3,1.5,3.0,0.5,0.0,0.0,0.0,1.5,3.0,0.5,0.5,1.0,1.3,0.8,0.0,0.0,2.0,0.8,0.0,0.0,0.0,1.0,4.0
Bob Duffy,1963,PG,22.0,STL,42.0,0.0,10.4,1.6,4.1,0.379,0.0,0.0,0.0,1.6,4.1,0.379,0.379,0.5,0.9,0.564,0.0,0.0,0.9,2.0,0.0,0.0,0.0,1.0,3.7
Walter Dukes,1963,C,32.0,DET,62.0,0.0,14.7,1.3,4.1,0.325,0.0,0.0,0.0,1.3,4.1,0.325,0.325,1.6,2.2,0.737,0.0,0.0,5.8,0.9,0.0,0.0,0.0,3.0,4.3
Johnny Egan,1963,PG,24.0,DET,46.0,0.0,16.3,2.4,6.4,0.372,0.0,0.0,0.0,2.4,6.4,0.372,0.372,1.2,1.5,0.768,0.0,0.0,1.3,2.5,0.0,0.0,0.0,1.5,5.9
Leroy Ellis,1963,C,22.0,LAL,80.0,0.0,20.4,2.8,6.6,0.419,0.0,0.0,0.0,2.8,6.6,0.419,0.419,1.7,2.5,0.658,0.0,0.0,6.5,0.6,0.0,0.0,0.0,2.4,7.2
Wayne Embry*,1963,C,25.0,CIN,76.0,0.0,33.0,7.0,15.3,0.458,0.0,0.0,0.0,7.0,15.3,0.458,0.458,4.5,6.8,0.667,0.0,0.0,12.3,2.3,0.0,0.0,0.0,3.8,18.6
Mike Farmer,1963,SF,26.0,STL,80.0,0.0,21.6,3.0,7.0,0.425,0.0,0.0,0.0,3.0,7.0,0.425,0.425,1.5,1.7,0.842,0.0,0.0,4.6,1.8,0.0,0.0,0.0,1.9,7.4
Dave Fedor,1963,F,22.0,SFW,7.0,0.0,3.9,0.4,1.4,0.3,0.0,0.0,0.0,0.4,1.4,0.3,0.3,0.0,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.6,0.9
Al Ferrari,1963,G-F,29.0,CHZ,18.0,0.0,7.7,0.7,2.1,0.324,0.0,0.0,0.0,0.7,2.1,0.324,0.324,0.8,0.9,0.824,0.0,0.0,0.7,0.8,0.0,0.0,0.0,1.2,2.1
Bob Ferry,1963,C,25.0,DET,79.0,0.0,31.4,5.4,12.5,0.433,0.0,0.0,0.0,5.4,12.5,0.433,0.433,2.8,4.3,0.649,0.0,0.0,6.8,2.2,0.0,0.0,0.0,3.1,13.6
Jack Foley,1963,F,23.0,TOT,11.0,0.0,7.5,1.8,4.6,0.392,0.0,0.0,0.0,1.8,4.6,0.392,0.392,1.2,1.4,0.867,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.7,4.8
