Player,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette,1965,SG,26.0,CIN,63.0,0.0,10.5,1.4,3.9,0.371,0.0,0.0,0.0,1.4,3.9,0.371,0.371,0.9,1.2,0.747,0.0,0.0,1.0,1.1,0.0,0.0,0.0,2.0,3.8
Al Attles*,1965,PG,28.0,SFW,73.0,0.0,23.7,3.5,9.1,0.384,0.0,0.0,0.0,3.5,9.1,0.384,0.384,2.3,3.8,0.624,0.0,0.0,3.3,2.8,0.0,0.0,0.0,3.3,9.3
Jim Barnes,1965,PF,23.0,NYK,75.0,0.0,34.5,6.1,14.3,0.424,0.0,0.0,0.0,6.1,14.3,0.424,0.424,3.3,5.1,0.662,0.0,0.0,9.7,1.2,0.0,0.0,0.0,4.2,15.5
Dick Barnett,1965,SG,28.0,LAL,74.0,0.0,27.4,5.1,12.3,0.413,0.0,0.0,0.0,5.1,12.3,0.413,0.413,3.6,4.6,0.799,0.0,0.0,2.7,2.1,0.0,0.0,0.0,2.8,13.8
John Barnhill,1965,SG,26.0,STL,41.0,0.0,19.0,3.0,7.6,0.388,0.0,0.0,0.0,3.0,7.6,0.388,0.388,1.1,1.7,0.643,0.0,0.0,2.2,1.9,0.0,0.0,0.0,1.4,7.0
Elgin Baylor*,1965,SF,30.0,LAL,74.0,0.0,41.3,10.3,25.7,0.401,0.0,0.0,0.0,10.3,25.7,0.401,0.401,6.5,8.2,0.792,0.0,0.0,12.8,3.8,0.0,0.0,0.0,3.2,27.1
Zelmo Beaty*,1965,C,25.0,STL,80.0,0.0,36.5,6.3,13.1,0.482,0.0,0.0,0.0,6.3,13.1,0.482,0.482,4.3,6.0,0.715,0.0,0.0,12.1,1.4,0.0,0.0,0.0,4.1,16.9
Walt Bellamy*,1965,C,25.0,BAL,80.0,0.0,41.3,9.2,18.0,0.509,0.0,0.0,0.0,9.2,18.0,0.509,0.509,6.4,9.4,0.685,0.0,0.0,14.6,2.4,0.0,0.0,0.0,3.3,24.8
Al Bianchi,1965,PG,32.0,PHI,60.0,0.0,18.6,2.9,8.1,0.36,0.0,0.0,0.0,2.9,8.1,0.36,0.36,0.9,1.3,0.711,0.0,0.0,1.6,2.3,0.0,0.0,0.0,3.0,6.7
Bucky Bockhorn,1965,SG,31.0,CIN,19.0,0.0,22.3,3.2,8.3,0.382,0.0,0.0,0.0,3.2,8.3,0.382,0.382,1.5,2.1,0.718,0.0,0.0,2.9,2.4,0.0,0.0,0.0,2.7,7.8
Ron Bonham,1965,SF,22.0,BOS,37.0,0.0,10.0,2.5,5.9,0.414,0.0,0.0,0.0,2.5,5.9,0.414,0.414,2.5,3.0,0.821,0.0,0.0,2.1,0.5,0.0,0.0,0.0,0.9,7.4
